百事,#genre#
CCTV1,http://117.161.12.116/live/program/live/cctv1hd8m/8000000/mnf.m3u8
CCTV2,http://117.161.12.116/live/program/live/cctv2hd8m/8000000/mnf.m3u8
CCTV3,http://117.161.12.116/live/program/live/cctv38m/8000000/mnf.m3u8
CCTV4,http://117.161.12.116/live/program/live/cctv4hd8m/8000000/mnf.m3u8
CCTV5,http://117.161.12.116/live/program/live/cctv58m/8000000/mnf.m3u8
CCTV5+,http://117.161.12.116/live/program/live/cctv5phd8m/8000000/mnf.m3u8
CCTV6,http://117.161.12.116/live/program/live/cctv6hd8m/8000000/mnf.m3u8
CCTV7,http://117.161.12.116/live/program/live/cctv7hd8m/8000000/mnf.m3u8
CCTV8,http://117.161.12.116/live/program/live/cctv8hd8m/8000000/mnf.m3u8：
CCTV9,http://117.161.12.116/live/program/live/cctv9hd8m/8000000/mnf.m3u8
CCTV10,http://117.161.12.116/live/program/live/cctv10hd8m/8000000/mnf.m3u8
CCTV11,http://117.161.12.116/live/program/live/cctv11hd8m/8000000/mnf.m3u8
CCTV12,http://117.161.12.116/live/program/live/cctv12hd8m/8000000/mnf.m3u8
CCTV13,http://117.161.12.116/live/program/live/cctv13xwhd8m/8000000/mnf.m3u8
CCTV14,http://117.161.12.116/live/program/live/cctvsehd8m/8000000/mnf.m3u8
CCTV15,http://117.161.12.116/live/program/live/cctv15hd8m/8000000/mnf.m3u8
CCTV16,http://117.161.12.116/live/program/live/cctv16hd8m/8000000/mnf.m3u8
CCTV16-4K,http://117.161.12.116/live/program/live/cctv16hd4k/15000000/mnf.m3u8
CCTV17,http://117.161.12.116/live/program/live/cctv17hd8m/8000000/mnf.m3u8
CCTV1,http://117.161.12.118/live/program/live/cctv1hd8m/8000000/mnf.m3u8
CCTV2,http://117.161.12.118/live/program/live/cctv2hd8m/8000000/mnf.m3u8
CCTV3,http://117.161.12.118/live/program/live/cctv38m/8000000/mnf.m3u8
CCTV4,http://117.161.12.118/live/program/live/cctv4hd8m/8000000/mnf.m3u8
CCTV5,http://117.161.12.118/live/program/live/cctv58m/8000000/mnf.m3u8
CCTV5+,http://117.161.12.118/live/program/live/cctv5phd8m/8000000/mnf.m3u8
CCTV6,http://117.161.12.118/live/program/live/cctv6hd8m/8000000/mnf.m3u8
CCTV7,http://117.161.12.118/live/program/live/cctv7hd8m/8000000/mnf.m3u8
CCTV8,http://117.161.12.118/live/program/live/cctv8hd8m/8000000/mnf.m3u8
CCTV9,http://117.161.12.118/live/program/live/cctv9hd8m/8000000/mnf.m3u8
CCTV10,http://117.161.12.118/live/program/live/cctv10hd8m/8000000/mnf.m3u8
CCTV11,http://117.161.12.118/live/program/live/cctv11hd8m/8000000/mnf.m3u8
CCTV12,http://117.161.12.118/live/program/live/cctv12hd8m/8000000/mnf.m3u8
CCTV13,http://117.161.12.118/live/program/live/cctv13xwhd8m/8000000/mnf.m3u8
CCTV14,http://117.161.12.118/live/program/live/cctvsehd8m/8000000/mnf.m3u8
CCTV15,http://117.161.12.118/live/program/live/cctv15hd8m/8000000/mnf.m3u8
CCTV16,http://117.161.12.118/live/program/live/cctv16hd8m/8000000/mnf.m3u8
CCTV16-4K,http://117.161.12.118/live/program/live/cctv16hd4k/15000000/mnf.m3u8
CCTV17,http://117.161.12.118/live/program/live/cctv17hd8m/8000000/mnf.m3u8
CCTV1,http://117.161.12.124/live/program/live/cctv1hd8m/8000000/mnf.m3u8
CCTV2,http://117.161.12.124/live/program/live/cctv2hd8m/8000000/mnf.m3u8
CCTV3,http://117.161.12.124/live/program/live/cctv38m/8000000/mnf.m3u8
CCTV4,http://117.161.12.124/live/program/live/cctv4hd8m/8000000/mnf.m3u8
CCTV5,http://117.161.12.124/live/program/live/cctv58m/8000000/mnf.m3u8
CCTV5+,http://117.161.12.124/live/program/live/cctv5phd8m/8000000/mnf.m3u8
CCTV6,http://117.161.12.124/live/program/live/cctv6hd8m/8000000/mnf.m3u8
CCTV7,http://117.161.12.124/live/program/live/cctv7hd8m/8000000/mnf.m3u8
CCTV8,http://117.161.12.124/live/program/live/cctv8hd8m/8000000/mnf.m3u8
CCTV9,http://117.161.12.124/live/program/live/cctv9hd8m/8000000/mnf.m3u8
CCTV10,http://117.161.12.124/live/program/live/cctv10hd8m/8000000/mnf.m3u8
CCTV11,http://117.161.12.124/live/program/live/cctv11hd8m/8000000/mnf.m3u8
CCTV12,http://117.161.12.124/live/program/live/cctv12hd8m/8000000/mnf.m3u8
CCTV13,http://117.161.12.124/live/program/live/cctv13xwhd8m/8000000/mnf.m3u8
CCTV14,http://117.161.12.124/live/program/live/cctvsehd8m/8000000/mnf.m3u8
CCTV15,http://117.161.12.124/live/program/live/cctv15hd8m/8000000/mnf.m3u8
CCTV16,http://117.161.12.124/live/program/live/cctv16hd8m/8000000/mnf.m3u8
CCTV16-4K,http://117.161.12.124/live/program/live/cctv16hd4k/15000000/mnf.m3u8
CCTV17,http://117.161.12.124/live/program/live/cctv17hd8m/8000000/mnf.m3u8
江苏卫视,http://117.161.12.116/live/program/live/jswshd8m/8000000/mnf.m3u8
广西卫视,http://117.161.12.116/live/program/live/gxwshd8m/8000000/mnf.m3u8
四川卫视,http://117.161.12.116/live/program/live/scwshd/8000000/mnf.m3u8
上海卫视,http://117.161.12.116/live/program/live/dfwshd8m/8000000/mnf.m3u8
湖南卫视,http://117.161.12.116/live/program/live/hunanwshd8m/8000000/mnf.m3u8
浙江卫视,http://117.161.12.116/live/program/live/zjwshd8m/8000000/mnf.m3u8
东方卫视,http://117.161.12.116/live/program/live/dfwshd8m/8000000/mnf.m3u8
北京卫视,http://117.161.12.116/live/program/live/bjwshd8m/8000000/mnf.m3u8
天津卫视,http://117.161.12.116/live/program/live/tjwshd8m/8000000/mnf.m3u8
辽宁卫视,http://117.161.12.116/live/program/live/lnwshd8m/8000000/mnf.m3u8
安徽卫视,http://117.161.12.116/live/program/live/ahwshd8m/8000000/mnf.m3u8
黑龙江卫视,http://117.161.12.116/live/program/live/hljwshd8m/8000000/mnf.m3u8
广东卫视,http://117.161.12.116/live/program/live/gdwshd8m/8000000/mnf.m3u8
深圳卫视,http://117.161.12.116/live/program/live/szwshd8m/8000000/mnf.m3u8
湖北卫视,http://117.161.12.116/live/program/live/hubeiws8m/8000000/mnf.m3u8
吉林卫视,http://117.161.12.116/live/program/live/jlwshd8m/8000000/mnf.m3u8
山东卫视,http://117.161.12.116/live/program/live/sdws8m/8000000/mnf.m3u8
江西卫视,http://117.161.12.116/live/program/live/jxws8m/8000000/mnf.m3u8
河南卫视,http://117.161.12.116/live/program/live/hnwshd8m/8000000/mnf.m3u8
河北卫视,http://117.161.12.116/live/program/live/hbwshd8m/8000000/mnf.m3u8
甘肃卫视,http://117.161.12.116/live/program/live/gswshd8m/8000000/mnf.m3u8
重庆卫视,http://117.161.12.116/live/program/live/cqws8m/8000000/mnf.m3u8
东南卫视,http://117.161.12.116/live/program/live/dnwshd8m/8000000/mnf.m3u8
云南卫视,http://117.161.12.116/live/program/live/ynwshd8m/8000000/mnf.m3u8
贵州卫视,http://117.161.12.116/live/program/live/gzwshd8m/8000000/mnf.m3u8
海南卫视,http://117.161.12.116/live/program/live/hainanwshd8m/8000000/mnf.m3u8
欢笑剧场4k,http://117.161.12.116/live/program/live/hxjc4k/15000000/mnf.m3u8
欢笑剧场,http://117.161.12.116/live/program/live/hxjc8m/8000000/mnf.m3u8
劲爆体育,http://117.161.12.116/live/program/live/jbtyhd8m/8000000/mnf.m3u8
快乐垂钓,http://117.161.12.116/live/program/live/klcd8m/8000000/mnf.m3u8
金鹰纪实,http://117.161.12.116/live/program/live/jyjs8m/8000000/mnf.m3u8
戏曲精选,http://117.161.12.116/live/program/live/xqjx8m/8000000/mnf.m3u8
东方影视,http://117.161.12.116/live/program/live/dfyshd8m/8000000/mnf.m3u8
五星体育,http://117.161.12.116/live/program/live/wxtyhd8m/8000000/mnf.m3u8
全纪实,http://117.161.12.116/live/program/live/qjshd8m/8000000/mnf.m3u8
新视觉,http://117.161.12.116/live/program/live/xsjhd8m/8000000/mnf.m3u8
中国教育-1,http://117.161.12.116/live/program/live/zgjy1t8m/8000000/mnf.m3u8
中国教育-4,http://117.161.12.116/live/program/live/zgjy4hd8m/8000000/mnf.m3u8
卡酷少儿,http://117.161.12.116/live/program/live/kkse8m/8000000/mnf.m3u8
纪实科教,http://117.161.12.116/live/program/live/dajs8m/8000000/mnf.m3u8
茶频道,http://117.161.12.116/live/program/live/cpdhdavs8m/8000000/mnf.m3u8
足球高清,http://117.161.12.116/live/program/live/zqpd8m/8000000/mnf.m3u8
炫动卡通,http://117.161.12.116/live/program/live/hhxd8m/8000000/mnf.m3u8
江苏卫视,http://117.161.12.118/live/program/live/jswshd8m/8000000/mnf.m3u8
广西卫视,http://117.161.12.118/live/program/live/gxwshd8m/8000000/mnf.m3u8
四川卫视,http://117.161.12.118/live/program/live/scwshd/8000000/mnf.m3u8
上海卫视,http://117.161.12.118/live/program/live/dfwshd8m/8000000/mnf.m3u8
湖南卫视,http://117.161.12.118/live/program/live/hunanwshd8m/8000000/mnf.m3u8
浙江卫视,http://117.161.12.118/live/program/live/zjwshd8m/8000000/mnf.m3u8
东方卫视,http://117.161.12.118/live/program/live/dfwshd8m/8000000/mnf.m3u8
北京卫视,http://117.161.12.118/live/program/live/bjwshd8m/8000000/mnf.m3u8
天津卫视,http://117.161.12.118/live/program/live/tjwshd8m/8000000/mnf.m3u8
辽宁卫视,http://117.161.12.118/live/program/live/lnwshd8m/8000000/mnf.m3u8
安徽卫视,http://117.161.12.118/live/program/live/ahwshd8m/8000000/mnf.m3u8
黑龙江卫视,http://117.161.12.118/live/program/live/hljwshd8m/8000000/mnf.m3u8
广东卫视,http://117.161.12.118/live/program/live/gdwshd8m/8000000/mnf.m3u8
深圳卫视,http://117.161.12.118/live/program/live/szwshd8m/8000000/mnf.m3u8
湖北卫视,http://117.161.12.118/live/program/live/hubeiws8m/8000000/mnf.m3u8
吉林卫视,http://117.161.12.118/live/program/live/jlwshd8m/8000000/mnf.m3u8
山东卫视,http://117.161.12.118/live/program/live/sdws8m/8000000/mnf.m3u8
江西卫视,http://117.161.12.118/live/program/live/jxws8m/8000000/mnf.m3u8
河南卫视,http://117.161.12.118/live/program/live/hnwshd8m/8000000/mnf.m3u8
河北卫视,http://117.161.12.118/live/program/live/hbwshd8m/8000000/mnf.m3u8
甘肃卫视,http://117.161.12.118/live/program/live/gswshd8m/8000000/mnf.m3u8
重庆卫视,http://117.161.12.118/live/program/live/cqws8m/8000000/mnf.m3u8
东南卫视,http://117.161.12.118/live/program/live/dnwshd8m/8000000/mnf.m3u8
云南卫视,http://117.161.12.118/live/program/live/ynwshd8m/8000000/mnf.m3u8
贵州卫视,http://117.161.12.118/live/program/live/gzwshd8m/8000000/mnf.m3u8
海南卫视,http://117.161.12.118/live/program/live/hainanwshd8m/8000000/mnf.m3u8
欢笑剧场4k,http://117.161.12.118/live/program/live/hxjc4k/15000000/mnf.m3u8
欢笑剧场,http://117.161.12.118/live/program/live/hxjc8m/8000000/mnf.m3u8
劲爆体育,http://117.161.12.118/live/program/live/jbtyhd8m/8000000/mnf.m3u8
快乐垂钓,http://117.161.12.118/live/program/live/klcd8m/8000000/mnf.m3u8
金鹰纪实,http://117.161.12.118/live/program/live/jyjs8m/8000000/mnf.m3u8
戏曲精选,http://117.161.12.118/live/program/live/xqjx8m/8000000/mnf.m3u8
东方影视,http://117.161.12.118/live/program/live/dfyshd8m/8000000/mnf.m3u8
五星体育,http://117.161.12.118/live/program/live/wxtyhd8m/8000000/mnf.m3u8
全纪实,http://117.161.12.118/live/program/live/qjshd8m/8000000/mnf.m3u8
新视觉,http://117.161.12.118/live/program/live/xsjhd8m/8000000/mnf.m3u8
中国教育-1,http://117.161.12.118/live/program/live/zgjy1t8m/8000000/mnf.m3u8
中国教育-4,http://117.161.12.118/live/program/live/zgjy4hd8m/8000000/mnf.m3u8
卡酷少儿,http://117.161.12.118/live/program/live/kkse8m/8000000/mnf.m3u8
纪实科教,http://117.161.12.118/live/program/live/dajs8m/8000000/mnf.m3u8
茶频道,http://117.161.12.118/live/program/live/cpdhdavs8m/8000000/mnf.m3u8
足球高清,http://117.161.12.118/live/program/live/zqpd8m/8000000/mnf.m3u8
炫动卡通,http://117.161.12.118/live/program/live/hhxd8m/8000000/mnf.m3u8
江苏卫视,http://117.161.12.124/live/program/live/jswshd8m/8000000/mnf.m3u8
广西卫视,http://117.161.12.124/live/program/live/gxwshd8m/8000000/mnf.m3u8
四川卫视,http://117.161.12.124/live/program/live/scwshd/8000000/mnf.m3u8
上海卫视,http://117.161.12.124/live/program/live/dfwshd8m/8000000/mnf.m3u8
湖南卫视,http://117.161.12.124/live/program/live/hunanwshd8m/8000000/mnf.m3u8
浙江卫视,http://117.161.12.124/live/program/live/zjwshd8m/8000000/mnf.m3u8
东方卫视,http://117.161.12.124/live/program/live/dfwshd8m/8000000/mnf.m3u8
北京卫视,http://117.161.12.124/live/program/live/bjwshd8m/8000000/mnf.m3u8
天津卫视,http://117.161.12.124/live/program/live/tjwshd8m/8000000/mnf.m3u8
辽宁卫视,http://117.161.12.124/live/program/live/lnwshd8m/8000000/mnf.m3u8
安徽卫视,http://117.161.12.124/live/program/live/ahwshd8m/8000000/mnf.m3u8
黑龙江卫视,http://117.161.12.124/live/program/live/hljwshd8m/8000000/mnf.m3u8
广东卫视,http://117.161.12.124/live/program/live/gdwshd8m/8000000/mnf.m3u8
深圳卫视,http://117.161.12.124/live/program/live/szwshd8m/8000000/mnf.m3u8
湖北卫视,http://117.161.12.124/live/program/live/hubeiws8m/8000000/mnf.m3u8
吉林卫视,http://117.161.12.124/live/program/live/jlwshd8m/8000000/mnf.m3u8
山东卫视,http://117.161.12.124/live/program/live/sdws8m/8000000/mnf.m3u8
江西卫视,http://117.161.12.124/live/program/live/jxws8m/8000000/mnf.m3u8
河南卫视,http://117.161.12.124/live/program/live/hnwshd8m/8000000/mnf.m3u8
河北卫视,http://117.161.12.124/live/program/live/hbwshd8m/8000000/mnf.m3u8
甘肃卫视,http://117.161.12.124/live/program/live/gswshd8m/8000000/mnf.m3u8
重庆卫视,http://117.161.12.124/live/program/live/cqws8m/8000000/mnf.m3u8
东南卫视,http://117.161.12.124/live/program/live/dnwshd8m/8000000/mnf.m3u8
云南卫视,http://117.161.12.124/live/program/live/ynwshd8m/8000000/mnf.m3u8
贵州卫视,http://117.161.12.124/live/program/live/gzwshd8m/8000000/mnf.m3u8
海南卫视,http://117.161.12.124/live/program/live/hainanwshd8m/8000000/mnf.m3u8
欢笑剧场4k,http://117.161.12.124/live/program/live/hxjc4k/15000000/mnf.m3u8
欢笑剧场,http://117.161.12.124/live/program/live/hxjc8m/8000000/mnf.m3u8
劲爆体育,http://117.161.12.124/live/program/live/jbtyhd8m/8000000/mnf.m3u8
快乐垂钓,http://117.161.12.124/live/program/live/klcd8m/8000000/mnf.m3u8
金鹰纪实,http://117.161.12.124/live/program/live/jyjs8m/8000000/mnf.m3u8
戏曲精选,http://117.161.12.124/live/program/live/xqjx8m/8000000/mnf.m3u8
东方影视,http://117.161.12.124/live/program/live/dfyshd8m/8000000/mnf.m3u8
五星体育,http://117.161.12.124/live/program/live/wxtyhd8m/8000000/mnf.m3u8
全纪实,http://117.161.12.124/live/program/live/qjshd8m/8000000/mnf.m3u8
新视觉,http://117.161.12.124/live/program/live/xsjhd8m/8000000/mnf.m3u8
中国教育-1,http://117.161.12.124/live/program/live/zgjy1t8m/8000000/mnf.m3u8
中国教育-4,http://117.161.12.124/live/program/live/zgjy4hd8m/8000000/mnf.m3u8
卡酷少儿,http://117.161.12.124/live/program/live/kkse8m/8000000/mnf.m3u8
纪实科教,http://117.161.12.124/live/program/live/dajs8m/8000000/mnf.m3u8
茶频道,http://117.161.12.124/live/program/live/cpdhdavs8m/8000000/mnf.m3u8
足球高清,http://117.161.12.124/live/program/live/zqpd8m/8000000/mnf.m3u8
炫动卡通,http://117.161.12.124/live/program/live/hhxd8m/8000000/mnf.m3u8

咪咕,#genre#
CCTV1,http://120.77.28.4:8648/mgu.php?id=cctv1 
CCTV2,http://120.77.28.4:8648/mgu.php?id=cctv2 
CCTV3,http://120.77.28.4:8648/mgu.php?id=cctv3 
CCTV4,http://120.77.28.4:8648/mgu.php?id=cctv4 
CCTV4美洲,http://120.77.28.4:8648/mgu.php?id=cctv4a 
CCTV4欧洲,http://120.77.28.4:8648/mgu.php?id=cctv4o 
CCTV5,http://zy.otioi.cn/live/cqyx.php?token=8sO3Q0p7&id=cctv5
CCTV5+,http://zy.otioi.cn/live/migu.php?token=4zfvOqMj&id=cctv5p
CCTV6,http://120.77.28.4:8648/mgu.php?id=cctv6 
CCTV7,http://120.77.28.4:8648/mgu.php?id=cctv7 
CCTV8,http://120.77.28.4:8648/mgu.php?id=cctv8 
CCTV9,http://120.77.28.4:8648/mgu.php?id=cctv9 
CCTV10,http://120.77.28.4:8648/mgu.php?id=cctv10 
CCTV11,http://120.77.28.4:8648/mgu.php?id=cctv11 
CCTV12,http://120.77.28.4:8648/mgu.php?id=cctv12 
CCTV13,http://120.77.28.4:8648/mgu.php?id=cctv13 
CCTV14,http://120.77.28.4:8648/mgu.php?id=cctv14 
CCTV15,http://120.77.28.4:8648/mgu.php?id=cctv15 
CCTV17,http://120.77.28.4:8648/mgu.php?id=cctv17 
CCTV发现之旅,http://120.77.28.4:8648/mgu.php?id=fxzl 
CCTV老故事,http://120.77.28.4:8648/mgu.php?id=lgs 
CCTV中学生,http://120.77.28.4:8648/mgu.php?id=zxs 
CGTN,http://120.77.28.4:8648/mgu.php?id=cgtn 
CGTN记录,http://120.77.28.4:8648/mgu.php?id=cgtnjl 
CCTV西班牙语,http://120.77.28.4:8648/mgu.php?id=cgtne 
CCTV法语,http://120.77.28.4:8648/mgu.php?id=cgtnf 
CCTV阿拉伯语,http://120.77.28.4:8648/mgu.php?id=cgtna 
CCTV俄语,http://120.77.28.4:8648/mgu.php?id=cgtnr 
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8 
东方卫视,http://120.77.28.4:8648/mgu.php?id=dfws 
吉林卫视,http://120.77.28.4:8648/mgu.php?id=jlws 
青海卫视,http://120.77.28.4:8648/mgu.php?id=qhws 
陕西卫视,http://120.77.28.4:8648/mgu.php?id=sxws 
湖北卫视,http://120.77.28.4:8648/mgu.php?id=hubws 
江西卫视,http://120.77.28.4:8648/mgu.php?id=jxws 
江苏卫视,http://120.77.28.4:8648/mgu.php?id=jsws 
海峡卫视,http://120.77.28.4:8648/mgu.php?id=hxws 
大湾区卫视,http://120.77.28.4:8648/mgu.php?id=dwqws 
海南卫视,http://120.77.28.4:8648/mgu.php?id=hinws 
四海钓鱼,http://120.77.28.4:8648/mgu.php?id=shdy 
东方影视,http://120.77.28.4:8648/mgu.php?id=dfws 
上海新闻综合,http://120.77.28.4:8648/mgu.php?id=shxwzh 
上海第一财经,http://120.77.28.4:8648/mgu.php?id=dycj 
上海外语,http://120.77.28.4:8648/mgu.php?id=shics 
法制天地,http://120.77.28.4:8648/mgu.php?id=fztd 
劲爆体育,http://120.77.28.4:8648/mgu.php?id=jbty 
魅力足球,http://120.77.28.4:8648/mgu.php?id=mlzq 
乐游,http://120.77.28.4:8648/mgu.php?id=ly 
欢笑剧场,http://120.77.28.4:8648/mgu.php?id=hxjc 
七彩戏剧,http://120.77.28.4:8648/mgu.php?id=qcxj 
游戏风云,http://120.77.28.4:8648/mgu.php?id=yxfy 
临洮电视台,http://120.77.28.4:8648/mgu.php?id=lttv 
江苏城市,http://120.77.28.4:8648/mgu.php?id=jscs 
江苏综艺,http://120.77.28.4:8648/mgu.php?id=jszy 
江苏影视,http://120.77.28.4:8648/mgu.php?id=jsys 
江苏公共新闻,http://120.77.28.4:8648/mgu.php?id=jsggxw 
江苏国际,http://120.77.28.4:8648/mgu.php?id=jsgj 
江苏教育,http://120.77.28.4:8648/mgu.php?id=jsjy 
江苏体育休闲,http://120.77.28.4:8648/mgu.php?id=jstyxx 
优漫卡通,http://120.77.28.4:8648/mgu.php?id=ymkt 
南京新闻综合,http://120.77.28.4:8648/mgu.php?id=njxwzh 
南京教科,http://120.77.28.4:8648/mgu.php?id=njkj 
南京十八,http://120.77.28.4:8648/mgu.php?id=njsb 
淮安新闻综合,http://120.77.28.4:8648/mgu.php?id=haxwzh 
连云港新闻综合,http://120.77.28.4:8648/mgu.php?id=lygxwzh 
苏州新闻综合,http://120.77.28.4:8648/mgu.php?id=szxwzh 
泰州新闻综合,http://120.77.28.4:8648/mgu.php?id=tzxwzh 
宿迁新闻综合,http://120.77.28.4:8648/mgu.php?id=sqxwzh 
徐州新闻综合,http://120.77.28.4:8648/mgu.php?id=xzxwzh 
广东影视,http://120.77.28.4:8648/mgu.php?id=gdys 
嘉佳卡通,http://120.77.28.4:8648/mgu.php?id=jjkt 
CBA经典,http://120.77.28.4:8648/mgu.php?id=cbajd 
精英赛,http://120.77.28.4:8648/mgu.php?id=gdjys 
和平精英赛事,http://120.77.28.4:8648/mgu.php?id=hpjxss 
红色轮播台,http://120.77.28.4:8648/mgu.php?id=hslbt 
经典动画,http://120.77.28.4:8648/mgu.php?id=jddhdjh 
军事迷必看大片,http://120.77.28.4:8648/mgu.php?id=jsdp 
NBA经典,http://120.77.28.4:8648/mgu.php?id=nbajd 
全民乒乓,http://120.77.28.4:8648/mgu.php?id=qmpp 
五大联赛经典,http://120.77.28.4:8648/mgu.php?id=wdlsjd 
乡村振兴,http://120.77.28.4:8648/mgu.php?id=xczx 
周杰伦现场,http://120.77.28.4:8648/mgu.php?id=zjlxc 
最强综艺趴,http://120.77.28.4:8648/mgu.php?id=zqzyp 

中移,#genre#
CCTV-1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV-2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV-3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV-5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV-5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV-6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV-7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV-8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV-9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV-10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV-11,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV-12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV-13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV-14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV-15,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV-16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV-17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CGTN,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225604/index.m3u8
CGTN纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225602/index.m3u8
CGTN法语,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226520/index.m3u8
CGTN俄语,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226543/index.m3u8
CGTN西班牙语,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226431/index.m3u8
CGTN阿拉伯语,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226517/index.m3u8
CETV-1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225652/index.m3u8
CETV-2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226425/index.m3u8
CETV-4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225783/index.m3u8
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8、
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8
安徽卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
吉林卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8
辽宁卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226546/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8
河北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
山东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8
河南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226477/index.m3u8
四川卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
江西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
广东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8
广西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226549/index.m3u8
海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
青海卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226323/index.m3u8
内蒙古卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226389/index.m3u8
山西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226392/index.m3u8
