--------解密网站：http://111.229.253.40:559 交流QQ群1：1163524676 群2：722175118-------- 
  
移动央视,#genre# 
CCTV-1 综合,http://itv.425555.xyz/tvapi.php?tvplay&cid=1003224&user=96926859&tsum=724c8ac00deafa49bf775ac006f2124a 
CCTV-2 财经,http://itv.425555.xyz/tvapi.php?tvplay&cid=1003225&user=96926859&tsum=a42410cd21321cbf63af05b744c0ca2b 
CCTV-3 综艺,http://itv.425555.xyz/tvapi.php?tvplay&cid=1003226&user=96926859&tsum=e9e21f2e80396e80b041700109d4942c 
CCTV-4 中文国际,http://itv.425555.xyz/tvapi.php?tvplay&cid=1003227&user=96926859&tsum=37568cd34866e959b53efe131f77d457 
CCTV-5 体育,http://itv.425555.xyz/tvapi.php?tvplay&cid=1003228&user=96926859&tsum=29582fc400aa0931865a43c982c1e676 
CCTV-5+ 体育赛事,http://itv.425555.xyz/tvapi.php?tvplay&cid=1003229&user=96926859&tsum=adc5e3f6dd9e8463b297854e9a1bc052 
CCTV-6 电影,http://itv.425555.xyz/tvapi.php?tvplay&cid=1003230&user=96926859&tsum=ab90d0f447958383be8b1651b164b027 
CCTV-7 国防军事,http://itv.425555.xyz/tvapi.php?tvplay&cid=1003231&user=96926859&tsum=be8d64449a4e1013f94fb1be320f7ef5 
CCTV-8 电视剧,http://itv.425555.xyz/tvapi.php?tvplay&cid=1003232&user=96926859&tsum=a2d3880eba68baf2f122eba716d00a44 
CCTV-9 纪录,http://itv.425555.xyz/tvapi.php?tvplay&cid=1003233&user=96926859&tsum=015e39e92833b0b5a054f5b453181553 
CCTV-10 科教,http://itv.425555.xyz/tvapi.php?tvplay&cid=1003234&user=96926859&tsum=b7120d834517ee61de4689a3fdccc528 
CCTV-11 戏曲,http://itv.425555.xyz/tvapi.php?tvplay&cid=1003235&user=96926859&tsum=7e5b2c5f98e085671374c460fe6a7f79 
CCTV-12 社会与法,http://itv.425555.xyz/tvapi.php?tvplay&cid=1003236&user=96926859&tsum=1cb84919287e8d810beafa4d8b250c4f 
CCTV-13 新闻,http://itv.425555.xyz/tvapi.php?tvplay&cid=1003237&user=96926859&tsum=ecdd061105ba59e61b7c0f0852c1a94a 
CCTV-14 少儿,http://itv.425555.xyz/tvapi.php?tvplay&cid=1003238&user=96926859&tsum=b014d6300d307b683d90995c1cd0e402 
CCTV-15 音乐,http://itv.425555.xyz/tvapi.php?tvplay&cid=1003239&user=96926859&tsum=142813fcc4af5abaa5708a74814c4e29 
CCTV-16 奥林匹克,http://itv.425555.xyz/tvapi.php?tvplay&cid=1003240&user=96926859&tsum=725b750633ef94e1a8a2c85764b7db20 
CCTV-17 农业农村,http://itv.425555.xyz/tvapi.php?tvplay&cid=1003241&user=96926859&tsum=42a9ffba904639a1b63a97207e551848 
CGTN,http://itv.425555.xyz/tvapi.php?tvplay&cid=1003242&user=96926859&tsum=1a465650539d519381dcf36fe431c92b 
CGTN纪录,http://itv.425555.xyz/tvapi.php?tvplay&cid=1003243&user=96926859&tsum=72f090f2d906ce0da769f2d5fe2bc87a 
CGTN法语,http://itv.425555.xyz/tvapi.php?tvplay&cid=1003244&user=96926859&tsum=991d1b93bb52c7eaff266e0d41b30d6a 
CGTN俄语,http://itv.425555.xyz/tvapi.php?tvplay&cid=1003245&user=96926859&tsum=aef583a79fe1138f7e65d1a5d4a30482 
CGTN西班牙语,http://itv.425555.xyz/tvapi.php?tvplay&cid=1003246&user=96926859&tsum=f3eb7fb2bcb2cc0874c795964da432a1 
CGTN阿拉伯语,http://itv.425555.xyz/tvapi.php?tvplay&cid=1003247&user=96926859&tsum=d1181c5f0936e7e274c857fb55d3c0fb 
CETV-1,http://itv.425555.xyz/tvapi.php?tvplay&cid=1003248&user=96926859&tsum=3946f7bfe7177d7e3a2bd8411a3a0d48 
CETV-2,http://itv.425555.xyz/tvapi.php?tvplay&cid=1003249&user=96926859&tsum=4a5c5c1c7d9455286989b28cb768150f 
CETV-4,http://itv.425555.xyz/tvapi.php?tvplay&cid=1003250&user=96926859&tsum=a035768a5c172b4d6260934019705236 
移动卫视,#genre# 
北京卫视,http://itv.425555.xyz/tvapi.php?tvplay&cid=1003327&user=96926859&tsum=d828ae5848f0d40f150243d583f2abee 
东方卫视,http://itv.425555.xyz/tvapi.php?tvplay&cid=1003328&user=96926859&tsum=3ff49e8057ce99f497e91baf544e85c7 
浙江卫视,http://itv.425555.xyz/tvapi.php?tvplay&cid=1003329&user=96926859&tsum=4e49e97391f2d0ad517a617463282e1b 
江苏卫视,http://itv.425555.xyz/tvapi.php?tvplay&cid=1003330&user=96926859&tsum=18dd1888487c3777a27afe581ac5db69 
湖南卫视,http://itv.425555.xyz/tvapi.php?tvplay&cid=1003331&user=96926859&tsum=f77db0b4999a94d1a4a4a1b56ea6f9ce 
深圳卫视,http://itv.425555.xyz/tvapi.php?tvplay&cid=1003332&user=96926859&tsum=e4e9895cde131d259c225190d1edae96 
