
  央视频道,#genre# 
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8 
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8 
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8 
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8 
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8 
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8 
CCTV6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8 
CCTV7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8 
CCTV8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8 
CCTV9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8 
CCTV10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8 
CCTV11,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8 
CCTV12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8 
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8 
CCTV14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8 
CCTV15,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8 
CCTV16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8 
CCTV17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8 
CGTN,http://116.233.34.25:7777/tsfile/live/1037_1.m3u8 
CETV,http://116.233.34.25:7777/tsfile/live/1041_1.m3u8 
CCTV-世界地理,http://dd.ddzb.fun/php/gzyx.php?id=6e407aeb2256f118cbc7500efb69ea37 
CCTV-怀旧剧场,http://dd.ddzb.fun/php/gzyx.php?id=7a2b1c83b212fa4e2a68ce0c1c25c9f0 
CCTV-第一剧场,http://dd.ddzb.fun/php/gzyx.php?id=155774022270441e808f7fe34a461113 
CCTV-风云剧场,http://dd.ddzb.fun/php/gzyx.php?id=28b3dfac03626525db867cfe5efa6c08 
CCTV-央视精品,http://dd.ddzb.fun/php/gzyx.php?id=df2c3d5ea40de75807e926c8764da0d0 
CCTV-风云足球,http://dd.ddzb.fun/php/gzyx.php?id=9a4447cf2f6ad5e48a273929e3e12d79 
CCTV-央视台球,http://dd.ddzb.fun/php/gzyx.php?id=db5ba3a40c2d5867978cc2db30f662a9 
CCTV-高尔夫网球,http://dd.ddzb.fun/php/gzyx.php?id=739c8947f3ae1fff32001ea966c2fb0d 
CCTV-风云音乐,http://dd.ddzb.fun/php/gzyx.php?id=55aa4e6799e5cf2e016d25ea298df515 
CCTV-兵器科技,http://dd.ddzb.fun/php/gzyx.php?id=a0e5ccb15677fd5ecb6bfe15eeae94aa 
CCTV-发现之旅,http://dd.ddzb.fun/php/gzyx.php?id=0d7c4ba0acfe86609acdbcb88ef54f3a 
CCTV-卫生健康,http://dd.ddzb.fun/php/gzyx.php?id=d123a2c9a596930753a983f982e3e6fd 
CCTV-中学生,http://dd.ddzb.fun/php/gzyx.php?id=6c099be5934da093a156f2d652954bdd 
CCTV-老故事,http://dd.ddzb.fun/php/gzyx.php?id=d92287ad8f1851adbf7365becc0f6ca8 
中国气象频道,http://dd.ddzb.fun/php/gzyx.php?id=9684959ac1679041f38f40552626a9c7 
CETV1,http://61.190.129.195:8686/udp/238.1.78.158:7136 
CETV2,http://61.190.129.195:8686/udp/238.1.78.106:6720 
CETV4,http://61.190.129.195:8686/udp/238.1.78.107:6728 
CCTV4欧,http://ygbh666.cn/aikmigu.php?id=cctv4o 
CCTV4美,http://ygbh666.cn/aikmigu.php?id=cctv4a 
CGTN纪,http://ygbh666.cn/aikmigu.php?id=cgtnjl 
CGTN西,http://ygbh666.cn/aikmigu.php?id=cgtne 
CGTN阿,http://ygbh666.cn/aikmigu.php?id=cgtna 
CGTN法,http://ygbh666.cn/aikmigu.php?id=cgtnf 
CGTN俄,http://ygbh666.cn/aikmigu.php?id=cgtnr 
发现之旅,http://ygbh666.cn/aikmigu.php?id=fxzl 
央老故事,http://ygbh666.cn/aikmigu.php?id=lgs 
央中学生,http://ygbh666.cn/aikmigu.php?id=zxs 
家庭影院,http://ygbh666.cn/aikmigu.php?id=chcjt 
动作电影,http://ygbh666.cn/aikmigu.php?id=chcdz 
CGTN纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225602/index.m3u8 
CGTN法语,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226520/index.m3u8 
CGTN俄语,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226543/index.m3u8 
CGTN西班牙语,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226431/index.m3u8 
CGTN阿拉伯语,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226517/index.m3u8 
CETV-1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225652/index.m3u8 
CETV-2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226425/index.m3u8 
CETV-4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225783/index.m3u8 
郑铁有线频道,http://39.162.27.11:8081/newlive/live/hls/1/live.m3u8 
人民铁道频道,http://39.162.27.11:8081/newlive/live/hls/2/live.m3u8 
CETV3,http://www.8700956.top:18888/rtp/239.81.1.062:4056 
CGTN英语,http://182.104.192.98:8180/TV00000000000000000041@HHZT 
世界地理,http://182.104.192.98:8180/TV00000000000000000044@HHZT 
兵器科技,http://182.104.192.98:8180/TV00000000000000000032@HHZT 
怀旧剧场,http://182.104.192.98:8180/TV00000000000000000046@HHZT 
风云足球,http://182.104.192.98:8180/TV00000000000000000045@HHZT 
中国教育,http://mobilelive-ds.ysp.cctv.cn/ysp/2022823801.m3u8 
劲爆体育,http://182.104.192.98:8180/TV00000000000000000002@HHZT 
影迷电影,http://117.114.153.18:8180/TV00000000000000000094@HHZT 
第一剧场,http://119.135.1.16:6699/live/1081/index.m3u8 
风云剧场,http://119.135.1.16:6699/live/1082/index.m3u8 
文化精品,http://119.135.1.16:6699/live/1079/index.m3u8 
高尔网球,http://119.135.1.16:6699/live/1078/index.m3u8 
央视台球,http://119.135.1.16:6699/live/1077/index.m3u8 
电视指南,http://119.135.1.16:6699/live/1084/index.m3u8 
CCTV4欧洲,http://ygbh666.cn/aikmigu.php?id=cctv4o 
CCTV4美洲,http://ygbh666.cn/aikmigu.php?id=cctv4a 
