 
河北央视频道,#genre#
CCTV1,http://60.4.9.77:8888/udp/239.254.200.45:8008
CCTV2,http://60.4.9.77:8888/udp/239.254.200.158:6000
CCTV3,http://60.4.9.77:8888/udp/239.254.200.13:6000
CCTV3,http://60.4.9.77:8888/udp/239.254.201.152:7205
CCTV4,http://60.4.9.77:8888/udp/239.254.200.190:6307
CCTV5,http://60.4.9.77:8888/udp/239.254.201.153:7206
CCTV5,http://60.4.9.77:8888/udp/239.254.200.14:6000
CCTV5+,http://60.4.9.77:8888/udp/239.254.200.46:8004
CCTV6,http://60.4.9.77:8888/udp/239.254.200.15:6000
CCTV6,http://60.4.9.77:8888/udp/239.254.201.154:7207
CCTV7,http://60.4.9.77:8888/udp/239.254.200.159:6000
CCTV8,http://60.4.9.77:8888/udp/239.254.201.155:7208
CCTV8,http://60.4.9.77:8888/udp/239.254.200.16:6000
CCTV9,http://60.4.9.77:8888/udp/239.254.200.59:8112
CCTV10,http://60.4.9.77:8888/udp/239.254.200.160:6000
CCTV11,http://60.4.9.77:8888/udp/239.254.201.123:8120
CCTV12,http://60.4.9.77:8888/udp/239.254.200.161:6000
CCTV13,http://60.4.9.77:8888/udp/239.254.200.9:8264
CCTV14,http://60.4.9.77:8888/udp/239.254.200.162:6000
CCTV15,http://60.4.9.77:8888/udp/239.254.201.124:8136
CCTV17,http://60.4.9.77:8888/udp/239.254.201.120:8144
河北卫视频道,#genre#
重庆卫视,http://60.4.9.77:8888/udp/239.254.200.203:6323
江苏卫视,http://60.4.9.77:8888/udp/239.254.200.51:8028
浙江卫视,http://60.4.9.77:8888/udp/239.254.200.53:8036
东方卫视,http://60.4.9.77:8888/udp/239.254.200.52:8032
北京卫视,http://60.4.9.77:8888/udp/239.254.200.47:8024
山东卫视,http://60.4.9.77:8888/udp/239.254.200.55:8052
天津卫视,http://60.4.9.77:8888/udp/239.254.200.54:1234
云南卫视,http://60.4.9.77:8888/udp/239.254.200.68:8108
广西卫视,http://60.4.9.77:8888/udp/239.254.200.80:8300
安徽卫视,http://60.4.9.77:8888/udp/239.254.200.163:6000
山西卫视,http://60.4.9.77:8888/udp/239.254.200.83:8172
陕西卫视,http://60.4.9.77:8888/udp/239.254.200.82:8140
东南卫视,http://60.4.9.77:8888/udp/239.254.201.13:6291
吉林卫视,http://60.4.9.77:8888/udp/239.254.201.15:6339
辽宁卫视,http://60.4.9.77:8888/udp/239.254.200.57:8056
内蒙古卫视,http://60.4.9.77:8888/udp/239.254.200.84:8176
湖南卫视,http://60.4.9.77:8888/udp/239.254.200.48:8012
广东卫视,http://60.4.9.77:8888/udp/239.254.200.56:8048
河南卫视,http://60.4.9.77:8888/udp/239.254.201.16:7174
河北卫视,http://60.4.9.77:8888/udp/239.254.200.174:6000
宁夏卫视,http://60.4.9.77:8888/udp/239.254.200.87:8124
青海卫视,http://60.4.9.77:8888/udp/239.254.200.85:8184

湖北央视频道,#genre#
CCTV1,http://27.24.225.35:8888/udp/239.254.96.96:8550
CCTV1,http://27.28.71.131:8888/udp/239.254.96.96:8550
CCTV1,http://171.80.219.179:8888/udp/239.254.96.96:8550
CCTV2,http://171.80.219.179:8888/udp/239.69.1.102:10250
CCTV2,http://27.24.225.35:8888/udp/239.69.1.102:10250
CCTV2,http://27.28.71.131:8888/udp/239.69.1.102:10250
CCTV3,http://27.24.225.35:8888/udp/239.69.1.122:10370
CCTV3,http://171.80.219.179:8888/udp/239.69.1.122:10370
CCTV3,http://27.28.71.131:8888/udp/239.69.1.122:10370
CCTV4,http://27.24.225.35:8888/udp/239.69.1.138:10466
CCTV4,http://171.80.219.179:8888/udp/239.69.1.138:10466
CCTV4,http://27.28.71.131:8888/udp/239.69.1.138:10466
CCTV5,http://27.28.71.131:8888/udp/239.69.1.123:10376
CCTV5,http://171.80.219.179:8888/udp/239.69.1.123:10376
CCTV5,http://27.24.225.35:8888/udp/239.69.1.123:10376
CCTV6,http://27.28.71.131:8888/udp/239.69.1.124:10382
CCTV6,http://171.80.219.179:8888/udp/239.69.1.124:10382
CCTV6,http://27.24.225.35:8888/udp/239.69.1.124:10382
CCTV7,http://27.24.225.35:8888/udp/239.69.1.103:10256
CCTV7,http://27.28.71.131:8888/udp/239.69.1.103:10256
CCTV7,http://171.80.219.179:8888/udp/239.69.1.103:10256
CCTV8,http://27.28.71.131:8888/udp/239.69.1.125:10388
CCTV8,http://27.24.225.35:8888/udp/239.69.1.125:10388
CCTV8,http://171.80.219.179:8888/udp/239.69.1.125:10388
CCTV9,http://27.24.225.35:8888/udp/239.69.1.104:10262
CCTV9,http://171.80.219.179:8888/udp/239.69.1.104:10262
CCTV9,http://27.28.71.131:8888/udp/239.69.1.104:10262
CCTV10,http://27.24.225.35:8888/udp/239.69.1.105:10268
CCTV10,http://171.80.219.179:8888/udp/239.69.1.105:10268
CCTV10,http://27.28.71.131:8888/udp/239.69.1.105:10268
CCTV11,http://171.80.219.179:8888/udp/239.69.1.154:10560
CCTV11,http://27.28.71.131:8888/udp/239.69.1.154:10560
CCTV11,http://27.24.225.35:8888/udp/239.69.1.154:10560
CCTV12,http://27.28.71.131:8888/udp/239.69.1.106:10274
CCTV12,http://171.80.219.179:8888/udp/239.69.1.106:10274
CCTV12,http://27.24.225.35:8888/udp/239.69.1.106:10274
CCTV13,http://27.28.71.131:8888/udp/239.254.96.161:9040
CCTV13,http://171.80.219.179:8888/udp/239.254.96.161:9040
CCTV13,http://27.24.225.35:8888/udp/239.254.96.161:9040
CCTV14,http://27.24.225.35:8888/udp/239.69.1.107:10280
CCTV14,http://171.80.219.179:8888/udp/239.69.1.107:10280
CCTV14,http://27.28.71.131:8888/udp/239.69.1.107:10280
CCTV15,http://27.24.225.35:8888/udp/239.69.1.155:10566
CCTV15,http://27.28.71.131:8888/udp/239.69.1.155:10566
CCTV15,http://171.80.219.179:8888/udp/239.69.1.155:10566
CCTV16,http://27.24.225.35:8888/udp/239.69.1.247:11124
CCTV16,http://27.28.71.131:8888/udp/239.69.1.247:11124
CCTV16,http://171.80.219.179:8888/udp/239.69.1.247:11124
CETV1,http://171.80.219.179:8888/udp/239.69.1.110:10298
CETV1,http://27.28.71.131:8888/udp/239.69.1.110:10298
CETV1,http://27.24.225.35:8888/udp/239.69.1.110:10298
CCTV央视台球,http://27.28.71.131:8888/udp/239.69.1.98:10224
CCTV央视台球,http://27.24.225.35:8888/udp/239.69.1.98:10224

河南央视频道,#genre#
CCTV1,http://1.192.40.23:8888/udp/239.16.10.1:2000
CCTV1,http://171.8.168.31:8800/udp/239.16.10.1:2000
CCTV1,http://1.196.154.235:2000/udp/239.16.10.1:2000
CCTV2,http://171.8.168.31:8800/udp/239.16.10.127:2000
CCTV2,http://1.192.40.23:8888/udp/239.16.10.127:2000
CCTV2,http://1.196.154.235:2000/udp/239.16.10.127:2000
