臺灣 Taiwan,#genre#
AXN,http://154.9.232.236/mlTW22588.php?id=axn_twn
CINEMAX,http://154.9.232.236/mlTW22588.php?id=cinemax_twn
EYE戲劇,http://154.9.232.236/mlTW22588.php?id=eyetvxiju_twn
EYE旅遊,http://154.9.232.236/mlTW22588.php?id=eyetvtravel_twn
HBO,http://154.9.232.236/mlTW22588.php?id=hbohd_twn
HBO Family,http://154.9.232.236/mlTW22588.php?id=fyi_twn
好萊塢電影台,http://154.9.232.236/mlTW22588.php?id=hollywoodmovies_twn
MTV Live,http://154.9.232.236/mlTW22588.php?id=mtvhd_twn
TLC旅遊生活,http://154.9.232.236/mlTW22588.php?id=tlc_twn
東森新聞,http://154.9.232.236/mlTW22588.php?id=ettvnews
TVBS HD,http://154.9.232.236/mlTW22588.php?id=tvbs
TVBS新聞台,http://154.9.232.236/mlTW22588.php?id=tvbs_n
TVBS歡樂台,http://154.9.232.236/mlTW22588.php?id=tvbshuanle_twn
三立台灣台,http://154.9.232.236/mlTW22588.php?id=sanlitaiwan
三立戲劇台,http://154.9.232.236/mlTW22588.php?id=sanlixiju_twn
三立綜合台,http://154.9.232.236/mlTW22588.php?id=sanlizhonghe
中天亞洲台,http://154.9.232.236/mlTW22588.php?id=ctiasia_twn
中天娱樂,http://154.9.232.236/mlTW22588.php?id=ctient
中天新聞HD,http://154.9.232.236/mlTW22588.php?id=ctinews
中天綜合,http://154.9.232.236/mlTW22588.php?id=ctizhonghe
亞洲旅遊台,http://154.9.232.236/mlTW22588.php?id=asiatravel_twn
亞洲美食,http://154.9.232.236/mlTW22588.php?id=afc_twn
八大戲劇,http://154.9.232.236/mlTW22588.php?id=badadrama
八大第一,http://154.9.232.236/mlTW22588.php?id=badafirst
八大綜合,http://154.9.232.236/mlTW22588.php?id=badazhonghe
公視,http://154.9.232.236/mlTW22588.php?id=ctv_taiwan
民視,http://154.9.232.236/mlTW22588.php?id=ftvhd_taiwan
民視第一台,http://154.9.232.236/mlTW22588.php?id=lunghuajingdian_twn
民視台灣台,http://154.9.232.236/mlTW22588.php?id=ftvtaiwan_twn
民視新聞台,http://154.9.232.236/mlTW22588.php?id=ftvnew_taiwan
台視,http://154.9.232.236/mlTW22588.php?id=ttv_taiwan
台視新聞台,http://154.9.232.236/mlTW22588.php?id=ttvnews_twn
中視,http://154.9.232.236/mlTW22588.php?id=zhongshihd_twn
中視新聞台,http://154.9.232.236/mlTW22588.php?id=zhongshinews_twn
中視經典,http://154.9.232.236/mlTW22588.php?id=zhongshi_twn
華視,http://154.9.232.236/mlTW22588.php?id=ctshd_twn
華藝綜合,http://154.9.232.236/mlTW22588.php?id=weishichinese_twn
大愛一台,http://154.9.232.236/mlTW22588.php?id=daai_twn
寰宇新聞台,http://154.9.232.236/mlTW22588.php?id=huanyuxinwen_twn
寰宇財經台,http://154.9.232.236/mlTW22588.php?id=huanyutaiwan_twn
年代新聞台,http://154.9.232.236/mlTW22588.php?id=niandainews_twn
愛爾達影劇,http://154.9.232.236/mlTW22588.php?id=eltayingju_twn
愛爾達體育 1,http://154.9.232.236/mlTW22588.php?id=eltasport_twn
愛爾達體育 2,http://154.9.232.236/mlTW22588.php?id=eltasport2_twn
愛爾達體育 3,http://154.9.232.236/mlTW22588.php?id=eltasport3_twn
ELEVEN 1,http://154.9.232.236/mlTW22588.php?id=golfchannel_twn
博斯無限,http://154.9.232.236/mlTW22588.php?id=bosiunlimited_twn
博斯網球,http://154.9.232.236/mlTW22588.php?id=bositennis_twn
博斯運動1,http://154.9.232.236/mlTW22588.php?id=bosisport1_twn
博斯運動2,http://154.9.232.236/mlTW22588.php?id=bosisport2_twn
博斯高球1,http://154.9.232.236/mlTW22588.php?id=bosigolf1_twn
博斯高球2,http://154.9.232.236/mlTW22588.php?id=bosigolf2_twn
探索亞洲,http://154.9.232.236/mlTW22588.php?id=discoverytwn_twn
探索動力,http://154.9.232.236/mlTW22588.php?id=discoveryturbo_twn
國家地理,http://154.9.232.236/mlTW22588.php?id=natgeohd_twn
野生動物,http://154.9.232.236/mlTW22588.php?id=natgeowild_twn
動物星球,http://154.9.232.236/mlTW22588.php?id=animalplanet_twn
時尚,http://154.9.232.236/mlTW22588.php?id=fashiontv_twn
Discovery Asia,http://154.9.232.236/mlTW22588.php?id=discoverytwn_twn
Discovery HD,http://154.9.232.236/mlTW22588.php?id=discoveryhd_twn
東森戲劇,http://154.9.232.236/mlTW22588.php?id=ettvdrama
東森洋片,http://154.9.232.236/mlTW22588.php?id=ettvwestern
東森綜合,http://154.9.232.236/mlTW22588.php?id=ettvzhonghe
東森財經新聞,http://154.9.232.236/mlTW22588.php?id=ettvcaijing_twn
東森電影,http://154.9.232.236/mlTW22588.php?id=ettvmovie
緯來日本台,http://154.9.232.236/mlTW22588.php?id=videolandjapan
緯來體育台,http://154.9.232.236/mlTW22588.php?id=videolandsport
美亞電影,http://154.9.232.236/mlTW22588.php?id=meiyamovie_twn
BBC World News,http://154.9.232.236/mlTW22588.php?id=bbcnews_twn
Bloomberg News,http://154.9.232.236/mlTW22588.php?id=bloomberg_twn
Fox News,http://154.9.232.236/mlTW22588.php?id=foxnews_twn
阿里郎,http://154.9.232.236/mlTW22588.php?id=arirang_twn
CN卡通,http://154.9.232.236/mlTW22588.php?id=momo1_twn
靖天卡通台,http://154.9.232.236/mlTW22588.php?id=jingtiancartoon_twn
靖天國際台,http://154.9.232.236/mlTW22588.php?id=jingtianintl_twn
非凡新聞台,http://154.9.232.236/mlTW22588.php?id=feifannews_twn
龍祥時代,http://154.9.232.236/mlTW22588.php?id=lungxiangtime_twn
龍華偶像,http://154.9.232.236/mlTW22588.php?id=lunghuaidol_twn
龍華戲劇,http://154.9.232.236/mlTW22588.php?id=lunghuaxiju_twn
龍華洋片,http://154.9.232.236/mlTW22588.php?id=lunghuawestern_twn
龍華經典,http://154.9.232.236/mlTW22588.php?id=lunghuajingdian_twn
龍華電影,http://154.9.232.236/mlTW22588.php?id=xingwei_movie
馬來西亞 Malaysia,#genre#
TV1,http://154.9.232.236/mlTW22588.php?id=TV1
TV1(備用),http://154.9.232.236/mlTW22588.php?id=TV1_backup
TV2,http://154.9.232.236/mlTW22588.php?id=TV2
TV3,http://154.9.232.236/mlTW22588.php?id=TV3
TV3(備用),http://154.9.232.236/mlTW22588.php?id=tv3_twn
NTV7,http://154.9.232.236/mlTW22588.php?id=NTV7
TV8,http://154.9.232.236/mlTW22588.php?id=TV8
TV9,http://154.9.232.236/mlTW22588.php?id=TV9
Warna,http://154.9.232.236/mlTW22588.php?id=Warna-O
Warna(備用),http://154.9.232.236/mlTW22588.php?id=Warna
Ria,http://154.9.232.236/mlTW22588.php?id=Ria-0
Ria(備用),http://154.9.232.236/mlTW22588.php?id=Ria49
Ria-3,http://154.9.232.236/mlTW22588.php?id=Ria_quanjia
Al-Hijrah,http://154.9.232.236/mlTW22588.php?id=Alhijrah
Al-Hijrah(備用),http://154.9.232.236/mlTW22588.php?id=Alhijrah_backup
Awani,http://154.9.232.236/mlTW22588.php?id=Awani
Bernama,http://154.9.232.236/mlTW22588.php?id=Bernama
Prima,http://154.9.232.236/mlTW22588.php?id=Prima-0
Prima(備用),http://154.9.232.236/mlTW22588.php?id=Prima49
Ceria,http://154.9.232.236/mlTW22588.php?id=Ceria
Astro MTV,http://154.9.232.236/mlTW22588.php?id=AstroMTV
Mecca Live HD,http://154.9.232.236/mlTW22588.php?id=quran_mido
Madinah HD,http://154.9.232.236/mlTW22588.php?id=sunnah_mido
Oasis,http://154.9.232.236/mlTW22588.php?id=Oasis
HBO HD,http://154.9.232.236/mlTW22588.php?id=Hbo
HBO Signature,http://154.9.232.236/mlTW22588.php?id=Hbosignature
HBO Hits,http://154.9.232.236/mlTW22588.php?id=Hbohits
NatGeo Wild HD,http://154.9.232.236/mlTW22588.php?id=Natgeowild
Cartoon Network,http://154.9.232.236/mlTW22588.php?id=Cn
Nickelodeon,http://154.9.232.236/mlTW22588.php?id=Nickelodeon
Nick Jr,http://154.9.232.236/mlTW22588.php?id=Nickjr
Citra,http://154.9.232.236/mlTW22588.php?id=Citra
Sensasi,http://154.9.232.236/mlTW22588.php?id=Sensasi
Aura,http://154.9.232.236/mlTW22588.php?id=Aura
Rania,http://154.9.232.236/mlTW22588.php?id=Rania
Boo,http://154.9.232.236/mlTW22588.php?id=Boo
Awesome TV,http://154.9.232.236/mlTW22588.php?id=Awesome_mega
Sony HD,http://154.9.232.236/mlTW22588.php?id=SetOne
KBS World,http://154.9.232.236/mlTW22588.php?id=KBS
TvN,http://154.9.232.236/mlTW22588.php?id=TVN
Astro Premier,http://154.9.232.236/mlTW22588.php?id=Astropremier
AEC,http://154.9.232.236/mlTW22588.php?id=AEC
華麗台 HD,http://154.9.232.236/mlTW22588.php?id=Wlt
歡喜台 HD,http://154.9.232.236/mlTW22588.php?id=Huahee
歡喜台(備用),http://154.9.232.236/mlTW22588.php?id=Huahee_backup
Astro QJ,http://154.9.232.236/mlTW22588.php?id=Quanjia
TVB Jade,http://154.9.232.236/mlTW22588.php?id=Tvbjade
TVBS Asia,http://154.9.232.236/mlTW22588.php?id=Tvbasia
TVB Entertainment,http://154.9.232.236/mlTW22588.php?id=Tvbentertainment
TVB Classic,http://154.9.232.236/mlTW22588.php?id=Tvbclassic
AOD,http://154.9.232.236/mlTW22588.php?id=AodHD
One,http://154.9.232.236/mlTW22588.php?id=One_mega
TVB 星河台,http://154.9.232.236/mlTW22588.php?id=Xinhe
愛奇藝,http://154.9.232.236/mlTW22588.php?id=Qiyi
Animal Planet (Eng),http://154.9.232.236/mlTW22588.php?id=AnimalPlanet
tvN Movie,http://154.9.232.236/mlTW22588.php?id=Tvnmovie
CNN(備用),http://154.9.232.236/mlTW22588.php?id=cnn_twn
Celestial Classic,http://154.9.232.236/mlTW22588.php?id=Celestial2
CNBC,http://154.9.232.236/mlTW22588.php?id=cnbc_twn
RTM Sports HD,http://154.9.232.236/mlTW22588.php?id=Rtmsport
TLC,http://154.9.232.236/mlTW22588.php?id=Tlc
CNA,http://154.9.232.236/mlTW22588.php?id=cna
AFC 亞洲旅遊台,http://154.9.232.236/mlTW22588.php?id=asiatravel_twn
BBC World News,http://154.9.232.236/mlTW22588.php?id=bbcnews_twn
Foodnetwork Hd,http://154.9.232.236/mlTW22588.php?id=Foodnetwork_mega
HGTV,http://154.9.232.236/mlTW22588.php?id=HGTV
Arena,http://154.9.232.236/mlTW22588.php?id=Arena
Goshop,http://154.9.232.236/mlTW22588.php?id=Goshop
Celestial Movies HD,http://154.9.232.236/mlTW22588.php?id=Celestial_mega
Arena 2,http://154.9.232.236/mlTW22588.php?id=Arena2
Axn HD,http://154.9.232.236/mlTW22588.php?id=Axn
Paramount Network,http://154.9.232.236/mlTW22588.php?id=Paramountnetwork
BolaArena 1,http://154.9.232.236/mlTW22588.php?id=Bolaarena1
Astrol Kplus,http://154.9.232.236/mlTW22588.php?id=Kplus
Rock Actions,http://154.9.232.236/mlTW22588.php?id=Rockaction
Bloomberg News,http://154.9.232.236/mlTW22588.php?id=bloomberg_twn
Al-Jazeera,http://154.9.232.236/mlTW22588.php?id=aljazeera_twn
Rock Entertainment,http://154.9.232.236/mlTW22588.php?id=Rockentertain
Showcase,http://154.9.232.236/mlTW22588.php?id=Showcase_mega
BolaArena 2,http://154.9.232.236/mlTW22588.php?id=Bolaarena2
新加坡 Singapore,#genre#
Channel 5,http://154.9.232.236/mlTW22588.php?id=Channel5HD
Channel 5(備用),http://154.9.232.236/mlTW22588.php?id=Ch5_mega
Channel 8,http://154.9.232.236/mlTW22588.php?id=Channel8HD
Channel 8(備用),http://154.9.232.236/mlTW22588.php?id=Ch8_mega
Suria,http://154.9.232.236/mlTW22588.php?id=Suria
Suria(備用),http://154.9.232.236/mlTW22588.php?id=Suria_backup
Channel U,http://154.9.232.236/mlTW22588.php?id=ChannelU
Channel U(備用),http://154.9.232.236/mlTW22588.php?id=ChU_mega
Vasantham,http://154.9.232.236/mlTW22588.php?id=Vasantham
Vasantham(備用),http://154.9.232.236/mlTW22588.php?id=Vasantham_mega
CNA,http://154.9.232.236/mlTW22588.php?id=cna
CNA(備用),http://154.9.232.236/mlTW22588.php?id=cna_twn
印尼 Indonesia,#genre#
TVRI National,http://154.9.232.236/mlTW22588.php?id=TVRI
RCTI,http://154.9.232.236/mlTW22588.php?id=Rcti
Kompass TV,http://154.9.232.236/mlTW22588.php?id=Kompass
Berita Satu,http://154.9.232.236/mlTW22588.php?id=BeritaSatu_eko
Indosiar HD,http://154.9.232.236/mlTW22588.php?id=Indosiar
AnTV,http://154.9.232.236/mlTW22588.php?id=Antv
MNC TV,http://154.9.232.236/mlTW22588.php?id=Mnctv
Trans 7,http://154.9.232.236/mlTW22588.php?id=Trans7_eko
Transtv,http://154.9.232.236/mlTW22588.php?id=Transtv
JTV,http://154.9.232.236/mlTW22588.php?id=JTV_eko
Metro TV,http://154.9.232.236/mlTW22588.php?id=metrotv_eko
Cinemax,http://154.9.232.236/mlTW22588.php?id=Cinemax
SCTV,http://154.9.232.236/mlTW22588.php?id=SCTV
Tvone,http://154.9.232.236/mlTW22588.php?id=Tvone
TVMU,http://154.9.232.236/mlTW22588.php?id=TVMU_eko
GTV,http://154.9.232.236/mlTW22588.php?id=Gtv
RTV,http://154.9.232.236/mlTW22588.php?id=Rtv
Jak TV,http://154.9.232.236/mlTW22588.php?id=JakTV
iNews TV,http://154.9.232.236/mlTW22588.php?id=Inewstv
Daai TV,http://154.9.232.236/mlTW22588.php?id=DaaiTV
Net TV,http://154.9.232.236/mlTW22588.php?id=NetTV
Animax,http://154.9.232.236/mlTW22588.php?id=Animax
EWTN,http://154.9.232.236/mlTW22588.php?id=Ewtn
AlQuran AlKareem,http://154.9.232.236/mlTW22588.php?id=AlQuran
Tawaf TV,http://154.9.232.236/mlTW22588.php?id=TawafTV
Vision Prime,http://154.9.232.236/mlTW22588.php?id=VisionPrime
Muslim TV,http://154.9.232.236/mlTW22588.php?id=MuslimTV
Music TV,http://154.9.232.236/mlTW22588.php?id=MusicTV
Lifestyle&Fashion,http://154.9.232.236/mlTW22588.php?id=Lifestyle
Entertain,http://154.9.232.236/mlTW22588.php?id=Entertain
Hits,http://154.9.232.236/mlTW22588.php?id=Hits
Warner TV,http://154.9.232.236/mlTW22588.php?id=WarnerTV
SCM,http://154.9.232.236/mlTW22588.php?id=Weishimovie
Thrill,http://154.9.232.236/mlTW22588.php?id=Thrill
Fight Sports,http://154.9.232.236/mlTW22588.php?id=Fs
Beinsports 2 HD,http://154.9.232.236/mlTW22588.php?id=Bein2hd
Hits Movie,http://154.9.232.236/mlTW22588.php?id=Hitsmovie
One,http://154.9.232.236/mlTW22588.php?id=One_mega
tvN Movie,http://154.9.232.236/mlTW22588.php?id=Tvnmovie
Celestial Movies HD,http://154.9.232.236/mlTW22588.php?id=Celestialindo
Rock Actions,http://154.9.232.236/mlTW22588.php?id=Rockaction
