广东影视HD,rtp/239.11.0.79:1025

广东珠江HD,rtp/239.10.0.62:1025

广东珠江FHD,rtp/239.10.0.63:1025

广东体育HD,rtp/239.10.0.113:1025

广东体育FHD,rtp/239.10.0.47:1025

广东科教HD,rtp/239.10.0.112:1025

广东科教FHD,rtp/239.10.0.46:1025

广东新闻HD,rtp/239.10.0.199:1025

广东少儿HD,rtp/239.11.0.81:1025

广东民生HD,rtp/239.11.0.80:1025

大湾区卫视HD,rtp/239.11.0.78:1025

广东综艺-4K,rtp/239.10.0.64:1025

广东综艺-4K,rtp/239.10.0.75:1025

佛山综合HD,rtp/239.11.0.118:1025

佛山公共HD,rtp/239.11.0.114:1025

佛山影视HD,rtp/239.11.0.117:1025

佛山南海HD,rtp/239.11.0.115:1025

佛山顺德HD,rtp/239.11.0.116:1025


南国都市-4K,rtp/239.11.0.170:1025

广州综合HD,rtp/239.11.0.138:1025

广州新闻HD,rtp/239.11.0.139:1025

广州影视HD,rtp/239.11.0.140:1025

广州法治HD,rtp/239.11.0.141:1025

广州竞赛HD,rtp/239.11.0.142:1025

中山综合HD,rtp/239.11.0.122:1025

中山公共HD,rtp/239.11.0.123:1025

中山教育HD,rtp/239.11.0.124:1025

云浮综合HD,rtp/239.11.0.96:1025

云浮公共HD,rtp/239.11.0.97:1025

清远公共HD,rtp/239.11.0.75:1025

清远综合HD,rtp/239.11.0.74:1025

湛江公共HD,rtp/239.10.0.254:1025

湛江综合HD,rtp/239.10.0.253:1025

珠海一套HD,rtp/239.10.0.242:1025

珠海二套HD,rtp/239.10.0.65:1025

肇庆公共HD,rtp/239.11.0.54:1025

肇庆综合HD,rtp/239.11.0.53:1025

茂名公共HD,rtp/239.11.0.99:1025

茂名综合HD,rtp/239.10.0.238:1025

韶关公共HD,rtp/239.11.0.85:1025

韶关综合HD,rtp/239.11.0.84:1025

江门公共HD,rtp/239.10.0.139:1025

江门教育HD,rtp/239.10.0.152:1025

江门综合HD,rtp/239.10.0.219:1025


CCTV1HD,rtp/239.10.0.114:1025

CCTV-1FHD,rtp/239.10.0.48:1025

CCTV2HD,rtp/239.10.0.207:1025

CCTV3HD,rtp/239.10.0.101:1025

CCTV4HD,rtp/239.10.0.245:1025

CCTV5HD,rtp/239.10.0.102:1025

CCTV5HD,rtp/239.11.0.19:1025

CCTV5+HD,rtp/239.10.0.213:1025

IPTV5+HD,rtp/239.10.0.218:1025

CCTV6HD,rtp/239.10.0.103:1025

CCTV7HD,rtp/239.10.0.208:1025

CCTV8HD,rtp/239.10.0.104:1025

CCTV9HD,rtp/239.10.0.209:1025

CCTV10HD,rtp/239.10.0.210:1025

CCTV11HD,rtp/239.11.0.24:1025

CCTV12HD,rtp/239.10.0.211:1025

CCTV13HD,rtp/239.10.0.198:1025

CCTV14HD,rtp/239.10.0.212:1025

CCTV15HD,rtp/239.11.0.25:1025

CCTV16HD,rtp/239.11.0.126:1025

CCTV17HD,rtp/239.10.0.244:1025

CCTV16-4K,rtp/239.11.0.132:1025

CGTN英语HD,rtp/239.11.0.103:1025

CGTN纪录HD,rtp/239.11.0.104:1025

CGTN牙语HD,rtp/239.11.0.105:1025

CGTN法语HD,rtp/239.11.0.106:1025

CGTN阿语HD,rtp/239.11.0.107:1025

CGTN俄语HD,rtp/239.11.0.108:1025

CCTV4欧洲HD,rtp/239.11.0.101:1025

CCTV4美洲HD,rtp/239.11.0.102:1025

CCTV兵器科技HD,rtp/239.11.0.57:1025

CCTV电视指南HD,rtp/239.11.0.58:1025

CCTV风云足球HD,rtp/239.11.0.59:1025

CCTV央视台球HD,rtp/239.11.0.60:1025

CCTV央视网球HD,rtp/239.11.0.61:1025

CCTV女性时尚HD,rtp/239.11.0.62:1025

CCTV世界地理HD,rtp/239.11.0.63:1025

CCTV怀旧剧场HD,rtp/239.11.0.64:1025

CCTV风云剧场HD,rtp/239.11.0.65:1025

CCTV文化精品HD,rtp/239.11.0.66:1025

CCTV第一剧场HD,rtp/239.11.0.67:1025

CCTV风云音乐HD,rtp/239.11.0.68:1025

CHC高清电影HD,rtp/239.11.0.129:1025

CBN每日影院HD,rtp/239.11.0.163:1025

CBN风尚生活HD,rtp/239.11.0.164:1025

CBN幸福剧场HD,rtp/239.11.0.165:1025

CBN幸福娱乐HD,rtp/239.11.0.166:1025

广东卫视FHD,rtp/239.10.0.45:1025

广东卫视HD,rtp/239.10.0.111:1025

广西卫视HD,rtp/239.10.0.246:1025

东南卫视HD,rtp/239.10.0.77:1025

东方卫视HD,rtp/239.10.0.183:1025

北京卫视HD,rtp/239.10.0.131:1025

吉林卫视HD,rtp/239.10.0.81:1025

四川卫视FHD,rtp/239.10.0.60:1025

四川卫视HD,rtp/239.10.0.204:1025

天津卫视FHD,rtp/239.10.0.55:1025

天津卫视HD,rtp/239.10.0.181:1025

安徽卫视HD,rtp/239.10.0.203:1025

山东卫视FHD,rtp/239.10.0.56:1025

山东卫视HD,rtp/239.10.0.182:1025

江苏卫视FHD,rtp/239.10.0.51:1025

江苏卫视HD,rtp/239.10.0.180:1025

江西卫视HD,rtp/239.10.0.80:1025

河北卫视HD,rtp/239.10.0.79:1025

河南卫视HD,rtp/239.11.0.94:1025

浙江卫视FHD,rtp/239.10.0.50:1025

浙江卫视HD,rtp/239.10.0.179:1025

深圳卫视FHD,rtp/239.10.0.52:1025

深圳卫视HD,rtp/239.10.0.132:1025

湖北卫视FHD,rtp/239.10.0.54:1025

湖北卫视HD,rtp/239.10.0.134:1025

湖南卫视FHD,rtp/239.10.0.49:1025

湖南卫视HD,rtp/239.10.0.115:1025

贵州卫视HD,rtp/239.10.0.222:1025

辽宁卫视FHD,rtp/239.10.0.58:1025

辽宁卫视HD,rtp/239.10.0.185:1025

重庆卫视HD,rtp/239.10.0.205:1025

黑龙江卫视FHD,rtp/239.10.0.53:1025

黑龙江卫视HD,rtp/239.10.0.133:1025

教育卫视HD,rtp/239.10.0.223:1025

云南卫视HD,rtp/239.11.0.171:1025

海南卫视HD,rtp/239.11.0.172:1025

上海纪实HD,rtp/239.10.0.78:1025

北京纪实HD,rtp/239.10.0.184:1025

金鹰纪实FHD,rtp/239.10.0.59:1025

金鹰纪实HD,rtp/239.10.0.206:1025

求索生活HD,rtp/239.10.0.86:1025

求索记录HD,rtp/239.11.0.128:1025

嘉佳卡通HD,rtp/239.10.0.200:1025

金鹰卡通HD,rtp/239.11.0.125:1025

早期教育HD,rtp/239.11.0.100:1025

中国交通HD,rtp/239.10.0.72:1025

快乐垂钓HD,rtp/239.11.0.131:1025

茶频道HD,rtp/239.11.0.130:1025

咪咕-HD赛事1,rtp/239.10.0.87:1025

咪咕-HD赛事2,rtp/239.10.0.88:1025

咪咕-HD赛事3,rtp/239.10.0.89:1025

咪咕-HD赛事4,rtp/239.10.0.247:1025

咪咕-HD赛事5,rtp/239.10.0.248:1025

咪咕-HD赛事6,rtp/239.10.0.249:1025

咪咕-HD赛事7,rtp/239.10.0.250:1025

咪咕-HD赛事8,rtp/239.10.0.251:1025

咪咕-HD赛事9,rtp/239.10.0.252:1025

咪咕-HD赛事10,rtp/239.11.0.1:1025

咪咕-HD赛事11,rtp/239.11.0.2:1025

咪咕-HD赛事12,rtp/239.11.0.3:1025

咪咕-HD赛事13,rtp/239.11.0.4:1025

咪咕-HD赛事14,rtp/239.11.0.5:1025

咪咕-HD赛事15,rtp/239.11.0.6:1025

咪咕-HD赛事16,rtp/239.11.0.7:1025

咪咕-HD赛事17,rtp/239.11.0.8:1025

咪咕-HD赛事18,rtp/239.11.0.9:1025

咪咕-HD赛事19,rtp/239.11.0.10:1025

咪咕-HD赛事20,rtp/239.11.0.11:1025

咪咕-HD赛事21,rtp/239.11.0.12:1025

咪咕-HD赛事22,rtp/239.11.0.13:1025

咪咕-HD赛事23,rtp/239.11.0.14:1025

咪咕-HD赛事24,rtp/239.11.0.18:1025

咪咕-HD赛事25,rtp/239.11.0.19:1025

咪咕-HD赛事26,rtp/239.11.0.20:1025

咪咕-HD赛事27,rtp/239.11.0.21:1025

咪咕-HD赛事28,rtp/239.11.0.22:1025

百视通HD直播室101,rtp/239.10.0.90:1025

百视通HD直播室102,rtp/239.10.0.91:1025

百视通HD直播室103,rtp/239.10.0.92:1025

百视通HD直播室104,rtp/239.10.0.93:1025

百视通HD直播室105,rtp/239.10.0.94:1025

百视通HD直播室106,rtp/239.10.0.95:1025

百视通HD直播室107,rtp/239.10.0.96:1025
