China=大陸_,#genre#
CCTV-1 HD,http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/acb5bccceb45633804405de97ead7d3b/master.m3u8
CCTV-2 HD,http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/fe9d9cf4ea87932abc5457a5366f28c3/master.m3u8
CCTV-3 HD,http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/9c67d45b40421c53ce40c027da10d161/master.m3u8
CCTV4(MY),http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/7d3f383ce4a6a8d8912aa5ddea9187e0/master.m3u8
CCTV-5 HD,http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/4d7a04c034adc012ebb1a9ee53c8c387/master.m3u8
CCTV-5+ HD,http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/133c59f339ba51d2971db97df81362af/master.m3u8
CCTV-6 HD,http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/2dbfab19eadf0bc16c5638958656c8c9/master.m3u8
CCTV-7 HD,http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/bdc7e41ea29c08920aead57bedfda415/master.m3u8
CCTV-8 HD,http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/486de0e598ef4babaa3cb5a993093eb3/master.m3u8
CCTV-9 HD,http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/1278eac94210144cd7fea04b2bee345e/master.m3u8
CCTV-10 HD,http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/700d6047b4ee2516812769c7375f647a/master.m3u8
CCTV-11 HD,http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/da6764e3e4b17b4cc4491f5506a25439/master.m3u8
CCTV-12 HD,http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/9b722df548f02d951962a839350b340f/master.m3u8
CCTV-13 HD,http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/b436be97f63e570c1c082d1a7dbb12dc/master.m3u8
CCTV-14 HD,http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/8c4a77ad9c2eab39cf7e24f84f4cf33d/master.m3u8
CCTV-15 HD,http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/565bd10adf10c3a748faf19496cafaa9/master.m3u8
CCTV-16 HD,http://xtvantsc.xyz/tangyuanya.pw/172.96.160.90:16000/stream/c03f6559e760b1dec26e885bbcdbb8ae-e0a3990f38bef4c22d6d2eb1cf769b90/9e2e30033758422cb3f0a7b0f82bf580/master.m3u8
