✴️内网央卫✴️,#genre#
CCTV1综合,http://192.168.3.1:6534/rtp/239.10.0.114:1025
CCTV1综合,http://192.168.3.1:6534/rtp/239.10.0.48:1025
CCTV2财经,http://192.168.3.1:6534/rtp/239.10.0.207:1025
CCTV3综艺,http://192.168.3.1:6534/rtp/239.10.0.101:1025
CCTV4中文国际,http://192.168.3.1:6534/rtp/239.10.0.245:1025
CCTV4欧洲,http://192.168.3.1:6534/rtp/239.11.0.101:1025
CCTV4美洲,http://192.168.3.1:6534/rtp/239.11.0.102:1025
CCTV5体育,http://192.168.3.1:6534/rtp/239.10.0.102:1025
CCTV5+体育赛事,http://192.168.3.1:6534/rtp/239.10.0.213:1025
CCTV6电影,http://192.168.3.1:6534/rtp/239.10.0.103:1025
CCTV7国防军事,http://192.168.3.1:6534/rtp/239.10.0.208:1025
CCTV8电视剧,http://192.168.3.1:6534/rtp/239.10.0.104:1025
CCTV9纪录,http://192.168.3.1:6534/rtp/239.10.0.209:1025
CCTV10科教,http://192.168.3.1:6534/rtp/239.10.0.210:1025
CCTV11戏曲,http://192.168.3.1:6534/rtp/239.11.0.24:1025
CCTV12社会与法,http://192.168.3.1:6534/rtp/239.10.0.211:1025
CCTV13新闻,http://192.168.3.1:6534/rtp/239.10.0.198:1025
CCTV14少儿,http://192.168.3.1:6534/rtp/239.10.0.212:1025
CCTV15音乐,http://192.168.3.1:6534/rtp/239.11.0.25:1025
CCTV16奥林匹克,http://192.168.3.1:6534/rtp/239.11.0.126:1025
CCTV17农业农村,http://192.168.3.1:6534/rtp/239.10.0.244:1025
CCTV4K,http://192.168.3.1:6534/rtp/239.11.0.161:1025
CCTV4K,http://192.168.3.1:6534/rtp/239.11.0.162:1025
湖南卫视,http://192.168.3.1:6534/rtp/239.10.0.49:1025
湖南卫视,http://192.168.3.1:6534/rtp/239.10.0.115:1025
浙江卫视,http://192.168.3.1:6534/rtp/239.10.0.179:1025
江苏卫视,http://192.168.3.1:6534/rtp/239.10.0.180:1025
北京卫视,http://192.168.3.1:6534/rtp/239.10.0.131:1025
深圳卫视,http://192.168.3.1:6534/rtp/239.10.0.132:1025
黑龙江卫视,http://192.168.3.1:6534/rtp/239.10.0.133:1025
湖北卫视,http://192.168.3.1:6534/rtp/239.10.0.134:1025
天津卫视,http://192.168.3.1:6534/rtp/239.10.0.181:1025
山东卫视,http://192.168.3.1:6534/rtp/239.10.0.182:1025
东方卫视,http://192.168.3.1:6534/rtp/239.10.0.183:1025
辽宁卫视,http://192.168.3.1:6534/rtp/239.10.0.185:1025
四川卫视,http://192.168.3.1:6534/rtp/239.10.0.204:1025
重庆卫视,http://192.168.3.1:6534/rtp/239.10.0.205:1025
安徽卫视,http://192.168.3.1:6534/rtp/239.10.0.203:1025
贵州卫视,http://192.168.3.1:6534/rtp/239.10.0.222:1025
东南卫视,http://192.168.3.1:6534/rtp/239.10.0.77:1025
河北卫视,http://192.168.3.1:6534/rtp/239.10.0.79:1025
江西卫视,http://192.168.3.1:6534/rtp/239.10.0.80:1025
吉林卫视,http://192.168.3.1:6534/rtp/239.10.0.81:1025
甘肃卫视,http://192.168.3.1:6534/rtp/239.11.0.175:1025
河南卫视,http://192.168.3.1:6534/rtp/239.11.0.94:1025
云南卫视,http://192.168.3.1:6534/rtp/239.11.0.171:1025
海南卫视,http://192.168.3.1:6534/rtp/239.11.0.172:1025
广西卫视,http://192.168.3.1:6534/rtp/239.10.0.246:1025

✴️内网地方✴️,#genre#
广东卫视,http://192.168.3.1:6534/rtp/239.10.0.45:1025
广东卫视,http://192.168.3.1:6534/rtp/239.10.0.111:1025
广东珠江,http://192.168.3.1:6534/rtp/239.10.0.63:1025
广东珠江,http://192.168.3.1:6534/rtp/239.10.0.62:1025
广东珠江,http://192.168.3.1:6534/rtp/239.11.0.16:1025
广东经济科教,http://192.168.3.1:6534/rtp/239.10.0.46:1025
广东经济科教,http://192.168.3.1:6534/rtp/239.10.0.112:1025
广东体育,http://192.168.3.1:6534/rtp/239.10.0.47:1025
广东体育,http://192.168.3.1:6534/rtp/239.10.0.113:1025
广东民生,http://192.168.3.1:6534/rtp/239.11.0.80:1025
广东民生,http://192.168.3.1:6534/rtp/239.10.0.123:1025
大湾区卫视,http://192.168.3.1:6534/rtp/239.11.0.78:1025
广东新闻,http://192.168.3.1:6534/rtp/239.10.0.199:1025
广东影视,http://192.168.3.1:6534/rtp/239.11.0.79:1025
广东少儿,http://192.168.3.1:6534/rtp/239.11.0.81:1025
广州综合,http://192.168.3.1:6534/rtp/239.11.0.138:1025
广州新闻,http://192.168.3.1:6534/rtp/239.11.0.139:1025
广州影视,http://192.168.3.1:6534/rtp/239.11.0.140:1025
广州法治,http://192.168.3.1:6534/rtp/239.11.0.141:1025
广州竞赛,http://192.168.3.1:6534/rtp/239.11.0.142:1025
嘉佳卡通,http://192.168.3.1:6534/rtp/239.10.0.200:1025
岭南戏曲,http://192.168.3.1:6534/rtp/239.10.0.125:1025
现代教育,http://192.168.3.1:6534/rtp/239.10.0.138:1025
广东移动,http://192.168.3.1:6534/rtp/239.10.0.143:1025
佛山综合,http://192.168.3.1:6534/rtp/239.11.0.118:1025
佛山公共,http://192.168.3.1:6534/rtp/239.11.0.114:1025
佛山影视,http://192.168.3.1:6534/rtp/239.11.0.117:1025
南海,http://192.168.3.1:6534/rtp/239.11.0.115:1025
顺德,http://192.168.3.1:6534/rtp/239.11.0.116:1025
中山综合,http://192.168.3.1:6534/rtp/239.11.0.122:1025
香山文化,http://192.168.3.1:6534/rtp/239.11.0.123:1025
云浮综合,http://192.168.3.1:6534/rtp/239.11.0.96:1025
云浮文旅,http://192.168.3.1:6534/rtp/239.11.0.97:1025
清远文旅生活,http://192.168.3.1:6534/rtp/239.11.0.75:1025
清远新闻综合,http://192.168.3.1:6534/rtp/239.11.0.74:1025
湛江公共,http://192.168.3.1:6534/rtp/239.10.0.254:1025
新闻综合,http://192.168.3.1:6534/rtp/239.10.0.253:1025
珠海,http://192.168.3.1:6534/rtp/239.10.0.242:1025
肇庆综合,http://192.168.3.1:6534/rtp/239.11.0.53:1025
茂名生活文化,http://192.168.3.1:6534/rtp/239.11.0.99:1025
茂名综合,http://192.168.3.1:6534/rtp/239.10.0.238:1025
韶关新闻综合,http://192.168.3.1:6534/rtp/239.11.0.84:1025
江门侨乡生活,http://192.168.3.1:6534/rtp/239.10.0.139:1025
江门综合,http://192.168.3.1:6534/rtp/239.10.0.219:1025

✴️内网数码✴️,#genre#
CHC影迷电影,http://192.168.3.1:6534/rtp/239.11.0.129:1025
第一剧场,http://192.168.3.1:6534/rtp/239.11.0.67:1025
怀旧剧场,http://192.168.3.1:6534/rtp/239.11.0.64:1025
风云剧场,http://192.168.3.1:6534/rtp/239.11.0.65:1025
兵器科技,http://192.168.3.1:6534/rtp/239.11.0.57:1025
电视指南,http://192.168.3.1:6534/rtp/239.11.0.58:1025
风云足球,http://192.168.3.1:6534/rtp/239.11.0.59:1025
央视台球,http://192.168.3.1:6534/rtp/239.11.0.60:1025
高尔夫网球,http://192.168.3.1:6534/rtp/239.11.0.61:1025
女性时尚,http://192.168.3.1:6534/rtp/239.11.0.62:1025
世界地理,http://192.168.3.1:6534/rtp/239.11.0.63:1025
央视文化精品,http://192.168.3.1:6534/rtp/239.11.0.66:1025
