
央视频道v4,#genre#
CCTV1,https://iptvcc.4dz.top:18443/ysp/20141693901.m3u8
CCTV2,https://iptvcc.4dz.top:18443/ysp/2013693902.m3u8
CCTV1,http://hlsbkmgsplive.miguvideo.com/wd_r2/cctv/cctv1hd/1200/01.m3u8?msisdn=&Channel_ID=&ContentId=&HlsSubType=&HlsProfileId=&encrypt=
CCTV2,http://hlsbkmgsplive.miguvideo.com/wd_r2/cctv/cctv2hd/1500/01.m3u8?msisdn=&Channel_ID=&ContentId=&HlsSubType=&HlsProfileId=&encrypt=
CCTV3,http://hlsbkmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv3hd/2000/01.m3u8?msisdn=&Channel_ID=&ContentId=&HlsSubType=&HlsProfileId=&encrypt=
CCTV4,http://hlsbkmgsplive.miguvideo.com/wd_r2/cctv/cctv4hd/1500/01.m3u8?msisdn=&Channel_ID=&ContentId=&HlsSubType=&HlsProfileId=&encrypt=
CCTV5,http://hlsbkmgsplive.miguvideo.com/wd_r2/cctv/cctv5hdnew/1200/01.m3u8?msisdn=&Channel_ID=&ContentId=&HlsSubType=&HlsProfileId=&encrypt=
CCTV5+,http://hlsbkmgsplive.miguvideo.com/wd_r2/cctv/cctv5plusnew/2500/01.m3u8?msisdn=&Channel_ID=&ContentId=&HlsSubType=&HlsProfileId=&encrypt=
CCTV6,http://hlsbkmgsplive.miguvideo.com/wd_r2/ocn/cctv6hd/3000/01.m3u8?msisdn=&Channel_ID=&ContentId=&HlsSubType=&HlsProfileId=&encrypt=
CCTV7,http://hlsbkmgsplive.miguvideo.com/migu/kailu/20200324/cctv7hd/57/01.m3u8?msisdn=&Channel_ID=&ContentId=&HlsSubType=&HlsProfileId=&encrypt=
CCTV8,http://hlsbkmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv8hd/2000/01.m3u8?msisdn=&Channel_ID=&ContentId=&HlsSubType=&HlsProfileId=&encrypt=
CCTV9,http://hlsbkmgsplive.miguvideo.com/migu/kailu/20200324/cctv9hd/57/01.m3u8?msisdn=&Channel_ID=&ContentId=&HlsSubType=&HlsProfileId=&encrypt=
CCTV10,http://hlsbkmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv10hd/2000/01.m3u8?msisdn=&Channel_ID=&ContentId=&HlsSubType=&HlsProfileId=&encrypt=
CCTV11,http://hlsbkmgsplive.miguvideo.com/migu/kailu/cctv11hd/57/20200103/01.m3u8?msisdn=&Channel_ID=&ContentId=&HlsSubType=&HlsProfileId=&encrypt=
CCTV12,http://hlsbkmgsplive.miguvideo.com/migu/kailu/20200324/cctv12hd/57/01.m3u8?msisdn=&Channel_ID=&ContentId=&HlsSubType=&HlsProfileId=&encrypt=
CCTV13,http://hlsbkmgsplive.miguvideo.com/envivo_x/2018/SD/cctv13/2000/01.m3u8?msisdn=&Channel_ID=&ContentId=&HlsSubType=&HlsProfileId=&encrypt=
CCTV14,http://hlsbkmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv14hd/2000/01.m3u8?msisdn=&Channel_ID=&ContentId=&HlsSubType=&HlsProfileId=&encrypt=
CCTV15,http://hlsbkmgsplive.miguvideo.com/migu/kailu/20200324/cctv15hd/57/01.m3u8?msisdn=&Channel_ID=&ContentId=&HlsSubType=&HlsProfileId=&encrypt=
CCTV17,http://hlsbkmgsplive.miguvideo.com/migu/kailu/20200324/cctv17hd/57/01.m3u8?msisdn=&Channel_ID=&ContentId=&HlsSubType=&HlsProfileId=&encrypt=
CCTV1,http://hlsbkmgsplive.miguvideo.com/wd_r2/cctv/cctv1hd/1200/index.m3u8?&encrypt=
CCTV2,http://hlsbkmgsplive.miguvideo.com/wd_r2/cctv/cctv2hd/1500/index.m3u8?&encrypt=
CCTV3,http://hlsbkmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv3hd/2000/index.m3u8?&encrypt=
CCTV4,http://hlsbkmgsplive.miguvideo.com/wd_r2/cctv/cctv4hd/1500/index.m3u8?&encrypt=
CCTV5,http://hlsbkmgsplive.miguvideo.com/wd_r2/cctv/cctv5hdnew/1200/index.m3u8?&encrypt=
CCTV6,http://hlsbkmgsplive.miguvideo.com/wd_r2/ocn/cctv6hd/3000/index.m3u8?&encrypt=
CCTV7,http://hlsbkmgsplive.miguvideo.com/migu/kailu/20200324/cctv7hd/57/index.m3u8?&encrypt=
CCTV8,http://hlsbkmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv8hd/2000/index.m3u8?&encrypt=
CCTV9,http://hlsbkmgsplive.miguvideo.com/migu/kailu/20200324/cctv9hd/57/index.m3u8?&encrypt=
CCTV10,http://hlsbkmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv10hd/2000/index.m3u8?&encrypt=
CCTV11,http://hlsbkmgsplive.miguvideo.com/migu/kailu/cctv11hd/57/20200103/index.m3u8?&encrypt=
CCTV12,http://hlsbkmgsplive.miguvideo.com/migu/kailu/20200324/cctv12hd/57/index.m3u8?&encrypt=
CCTV13,http://hlsbkmgsplive.miguvideo.com/envivo_x/2018/SD/cctv13/2000/index.m3u8?&encrypt=
CCTV14,http://hlsbkmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv14hd/2000/index.m3u8?&encrypt=
CCTV15,http://hlsbkmgsplive.miguvideo.com/migu/kailu/20200324/cctv15hd/57/index.m3u8?&encrypt=
CCTV17,http://hlsbkmgsplive.miguvideo.com/migu/kailu/20200324/cctv17hd/57/index.m3u8?&encrypt=
CCTV5+,http://hlsbkmgsplive.miguvideo.com/wd_r2/cctv/cctv5plusnew/2500/index.m3u8?&encrypt=
CCTV1,http://ha.fengying138.top:8888/udp/239.76.253.151:9000
CCTV2,http://ha.fengying138.top:8888/udp/239.76.253.152:9000
CCTV3,http://ha.fengying138.top:8888/udp/239.76.253.153:9000
CCTV4,http://ha.fengying138.top:8888/udp/239.76.253.154:9000
CCTV5,http://ha.fengying138.top:8888/udp/239.76.253.155:9000
CCTV5+,http://ha.fengying138.top:8888/udp/239.76.253.168:9000
CCTV6,http://ha.fengying138.top:8888/udp/239.76.253.156:9000
CCTV7,http://ha.fengying138.top:8888/udp/239.76.253.157:9000
CCTV8,http://ha.fengying138.top:8888/udp/239.76.253.158:9000
CCTV9,http://ha.fengying138.top:8888/udp/239.76.253.159:9000
CCTV10,http://ha.fengying138.top:8888/udp/239.76.253.160:9000
CCTV11,http://ha.fengying138.top:8888/udp/239.76.245.251:1234
CCTV12,http://ha.fengying138.top:8888/udp/239.76.253.162:9000
CCTV13,http://ha.fengying138.top:8888/udp/239.76.253.93:9000
CCTV14,http://ha.fengying138.top:8888/udp/239.76.253.164:9000
CCTV15,http://ha.fengying138.top:8888/udp/239.76.245.252:1234
CCTV16,http://ha.fengying138.top:8888/udp/239.76.253.98:9000
CCTV17,http://ha.fengying138.top:8888/udp/239.76.245.238:1234
CCTV1,http://121.24.99.14:9901/tsfile/live/1000_1.m3u8
CCTV1,http://121.24.99.14:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://121.24.99.14:9901/tsfile/live/faacts/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://121.24.99.14:9901/tsfile/live/1001_1.m3u8
CCTV3,http://121.24.99.14:9901/tsfile/live/1002_1.m3u8
CCTV3,http://121.24.99.14:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://121.24.99.14:9901/tsfile/live/1003_1.m3u8
CCTV4,http://121.24.99.14:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://121.24.99.14:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://121.24.99.14:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://121.24.99.14:9901/tsfile/live/1004_1.m3u8
CCTV5+,http://121.24.99.14:9901/tsfile/live/1006_1.m3u8
CCTV6,http://121.24.99.14:9901/tsfile/live/0006_1.m3u8
CCTV7,http://121.24.99.14:9901/tsfile/live/1085_1.m3u8
CCTV7,http://121.24.99.14:9901/tsfile/live/1085_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://121.24.99.14:9901/tsfile/live/0008_1.m3u8
CCTV9,http://121.24.99.14:9901/tsfile/live/0009_1.m3u8
CCTV10,http://121.24.99.14:9901/tsfile/live/0010_1.m3u8
CCTV11,http://121.24.99.14:9901/tsfile/live/0011_1.m3u8
CCTV12,http://121.24.99.14:9901/tsfile/live/0012_1.m3u8
CCTV13,http://121.24.99.14:9901/tsfile/live/1086_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://121.24.99.14:9901/tsfile/live/1086_1.m3u8
CCTV14,http://121.24.99.14:9901/tsfile/live/1087_1.m3u8
CCTV14,http://121.24.99.14:9901/tsfile/live/faacts/1087_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://121.24.99.14:9901/tsfile/live/0015_1.m3u8
CCTV17,http://121.24.99.14:9901/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV老故事,http://121.24.99.14:9901/tsfile/live/1070_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV老故事,http://121.24.99.14:9901/tsfile/live/1070_1.m3u8
CCTV1,http://119.62.63.219:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://119.62.63.219:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3,http://119.62.63.219:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV4,http://119.62.63.219:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,http://119.62.63.219:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6,http://119.62.63.219:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7,http://119.62.63.219:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV8,http://119.62.63.219:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9,http://119.62.63.219:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV10,http://119.62.63.219:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV11,http://119.62.63.219:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV12,http://119.62.63.219:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV13,http://119.62.63.219:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV14,http://119.62.63.219:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV15,http://119.62.63.219:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://113.65.162.31:9901/tsfile/live/0001_1.m3u8
CCTV2,http://113.65.162.31:9901/tsfile/live/0002_1.m3u8
CCTV3,http://113.65.162.31:9901/tsfile/live/0003_1.m3u8
CCTV4,http://113.65.162.31:9901/tsfile/live/0004_1.m3u8
CCTV5,http://113.65.162.31:9901/tsfile/live/0005_1.m3u8
CCTV6,http://113.65.162.31:9901/tsfile/live/0006_1.m3u8
CCTV8,http://113.65.162.31:9901/tsfile/live/0008_1.m3u8
CCTV9,http://113.65.162.31:9901/tsfile/live/0009_1.m3u8
CCTV10,http://113.65.162.31:9901/tsfile/live/0010_1.m3u8
CCTV11,http://113.65.162.31:9901/tsfile/live/0011_1.m3u8
CCTV12,http://113.65.162.31:9901/tsfile/live/0012_1.m3u8
CCTV13,http://113.65.162.31:9901/tsfile/live/0013_1.m3u8
CCTV14,http://113.65.162.31:9901/tsfile/live/0014_1.m3u8
CCTV15,http://113.65.162.31:9901/tsfile/live/0015_1.m3u8
CCTV1,http://60.223.224.176:8888/newlive/live/hls/2/live.m3u8
CCTV2,http://60.223.224.176:8888/newlive/live/hls/3/live.m3u8
CCTV3,http://60.223.224.176:8888/newlive/live/hls/4/live.m3u8
CCTV4,http://60.223.224.176:8888/newlive/live/hls/5/live.m3u8
CCTV5,http://60.223.224.176:8888/newlive/live/hls/6/live.m3u8
CCTV5+,http://60.223.224.176:8888/newlive/live/hls/7/live.m3u8
CCTV6,http://60.223.224.176:8888/newlive/live/hls/8/live.m3u8
CCTV7,http://60.223.224.176:8888/newlive/live/hls/9/live.m3u8
CCTV8,http://60.223.224.176:8888/newlive/live/hls/10/live.m3u8
CCTV9,http://60.223.224.176:8888/newlive/live/hls/11/live.m3u8
CCTV10,http://60.223.224.176:8888/newlive/live/hls/12/live.m3u8
CCTV12,http://60.223.224.176:8888/newlive/live/hls/14/live.m3u8
CCTV14,http://60.223.224.176:8888/newlive/live/hls/16/live.m3u8
CCTV2,http://119.163.199.98:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://58.57.21.166:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://58.57.21.166:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://116.128.224.11:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,https://pan.nange6.cn:51888/pan/view.php/7ddebbf377bc641ce083d71957c0d474.php?id=cctv1
CCTV2,https://pan.nange6.cn:51888/pan/view.php/7ddebbf377bc641ce083d71957c0d474.php?id=cctv2
CCTV4,https://pan.nange6.cn:51888/pan/view.php/7ddebbf377bc641ce083d71957c0d474.php?id=cctv4
CCTV6,http://mobilelive-ds.ysp.cctv.cn/ysp/2013693901.m3u8
CCTV13,https://pan.nange6.cn:51888/pan/view.php/7ddebbf377bc641ce083d71957c0d474.php?id=cctv13
