📡辽宁地方,#genre#

辽宁体育,http://42.203.210.194:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=0&authid=0
辽宁公共,http://113.236.22.147:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=0&authid=0
辽宁北方,http://42.203.210.194:85/tsfile/live/1006_1.m3u8?key=txiptv&playlive=0&authid=0
辽宁影视剧,http://113.236.22.147:9901/tsfile/live/1024_1.m3u8?key=txiptv&playlive=0&authid=0$CND酒店
辽宁影视剧,http://113.236.24.245:85/tsfile/live/1024_1.m3u8?key=txiptv&playlive=0&authid=0


辽宁生活,http://59.47.118.242:801/hls/22/index.m3u8$CND
辽宁生活,http://113.236.24.245:85/tsfile/live/1022_1.m3u8?key=txiptv&playlive=0&authid=0

辽宁移动电视,http://113.236.22.147:9901/tsfile/live/1025_1.m3u8?key=txiptv&playlive=0&authid=0
辽宁移动电视,http://113.236.17.5:9901/tsfile/live/1025_1.m3u8?key=txiptv&playlive=0&authid=0
辽宁经济,http://60.16.18.243:4949/hls/34/index.m3u8$CND
辽宁经济,http://113.236.17.5:9901/tsfile/live/1021_1.m3u8?key=txiptv&playlive=0&authid=0

辽宁都市,http://59.47.118.242:801/hls/18/index.m3u8$CND
辽宁都市,http://113.236.17.5:9901/tsfile/live/1019_1.m3u8?key=txiptv&playlive=0&authid=0$CND


辽宁教育青少,http://59.47.118.242:801/hls/20/index.m3u8$CND

辽宁文化共享,http://59.47.118.242:801/hls/24/index.m3u8$CND

辽宁生活,http://59.47.118.242:801/hls/22/index.m3u8
辽宁经济,http://60.16.18.243:4949/hls/34/index.m3u8
辽宁都市,http://59.47.118.242:801/hls/18/index.m3u8
辽宁教育青少,http://59.47.118.242:801/hls/20/index.m3u8
辽宁文化共享,http://59.47.118.242:801/hls/24/index.m3u8

本溪综合,http://cd.sy012.com:4000/rtp/232.0.0.157:9324
朝阳教育,http://cd.sy012.com:4000/rtp/232.0.0.244:9128
朝阳新闻综合,http://cd.sy012.com:4000/rtp/232.0.0.243:9126
大连新闻综合,http://live.dltv.cn/tcb3IB5/500/a47hcs3.m3u8
大连生活,http://live.dltv.cn/JzcFkF4/500/d44hzsF.m3u8
大连文体,http://live.dltv.cn/hxT7Fc3/500/t3ohxs7.m3u8
大洼综合,https://cp.dawawg.com/live/dawatv/hls.m3u8
丹东新闻综合,http://cd.sy012.com:4000/rtp/232.0.0.251:9162
丹东生活,http://cd.sy012.com:4000/rtp/232.0.0.252:9164
